pojišťovna	Insurance
zóna	zone
prohlášení	statement
vyrovnat	settle
vzrůst	increase
Moskva	Moscow
podstatně	substantially
sláva	fame
oslava	celebration
horský	mountain
vystoupení	appearance
komerční	commercial
jevit	appear
vynikající	outstanding
pramen	source
vrah	killer
zachytit	catch
rovnou	straight
Marek	Marek
uvolnit	release
zaměřit	concentrate
zbytečný	wasted
mechanismus	mechanism
překvapení	surprise
vyvolávat	give rise to
rovina	plane
Afrika	Africa
svatba	wedding
klesnout	drop
ústavní	constitutional
rozšíření	extension
prudce	violently
spodní	lower
všeobecný	general
spolupracovat	cooperate
jedině	Only
negativní	negative
premiéra	premiere
Eva	Eva
hustý	thick
dětství	childhood
hmotnost	weight
profesionální	professional
kalhoty	trousers
platnost	validity
poradit	advise
Karlův	Charles
zvaný	known
varovat	warn
zahlédnout	catch sight
zasmát	laugh
slibovat	promise
prostora	space
zážitek	enjoyment
hospodářství	economy
vyslovit	pronounce
letět	fly
telefonní	phone
oproti	compared to
vyšetřování	investigation
lesní	Forestry
výpověď	notice
uzavřený	closed
sektor	sector
minimální	minimum
popisovat	describe
regionální	regional
správce	administrator
podezření	suspicion
povolení	authorization
sladký	sweet
železný	iron
dokonale	perfectly
obyvatelstvo	population
jednotlivec	single
pravděpodobný	likely
někdejší	former
náboženství	religion
vybavení	equipment
stěžovat	complain
zkoušet	rehearse
málem	nearly
tělesný	physical
získávat	gain
spravedlnost	righteousness
volič	selector
blízkost	nearness
kanál	channel
zajištění	ensuring
podnikání	undertaking
spustit	run
zakázka	commission
překonat	overcome
Vánoce	Christmas
připustit	admit
pokaždé	always
von	out
operační	operating
obrat	turnover
opačný	reverse
dotace	grant
kříž	cross
turnaj	tournament
mořský	marine
předložit	submit
dělit	divide
moment	moment
Julián	Julián
umřít	die
vzápětí	then
zahrát	play
B	B
vyhlásit	announce
filozofie	philosophy
zasloužit	deserve
písmeno	letter
dálka	distance
zvést	rumors
zkrátka	shortly
aktuální	current
přikývnout	nod
městečko	town
cyklus	cycle
pověst	reputation
zeman	thane
cestující	passengers
sebrat	pick
vnitro	Interior
počítačový	computer
stanovený	set
hnědý	brown
princ	prince
navzájem	each other
označení	designation
útvar	formation
Pardubice	Pardubice
zábava	entertainment
novinka	news
shromáždění	rally
odvézt	take away
císař	emperor
kočka	cat
tenký	thin
vytvoření	creation
díra	hole
herečka	actress
zdaleka	by far
Labe	Elbe
divize	division
sáhnout	touch
čtrnáct	fourteen
přístav	harbor
trocha	little
břicho	belly
lázeň	bath
maximální	maximal
složit	fold
vědomý	conscious
prohlížet	view
zamířit	aim
let	flight
strop	ceiling
plášť	sheathing
tvrzení	claim
fotbal	football
populární	popular
plánovat	plan
Kateřina	Catherine
pachatel	offender
plakat	cry
náměstek	deputy
architektura	architecture
porazit	beat
realizovat	implement
hasič	fireman
úmysl	intent
naposledy	last
popis	description
ovoce	fruit
příchod	advent
Zlín	Zlin
příkaz	command
veletrh	fair
výzva	challenge
Adam	Adam
výnos	return
hlad	hunger
přehled	summary
skládat	compose
tudíž	therefore
publikum	audience
sklenice	jar
věčný	everlasting
Ježíš	Jesus
okolní	surrounding
teta	aunt
odpovídající	appropriate
síň	hall
uznat	recognize
vojsko	army
vánoční	Christmas
základna	base
sehnat	get
vykládat	construe
prohrát	lose
socialistický	socialist
trápit	worry
účinnost	effectiveness
odsoudit	convict
bar	bar
chybit	miss
mládež	youth
obejít	circumvent
ba	nay
nikde	nowhere
tanec	dance
zpočátku	initially
vchod	entrance
závazek	commitment
zdůraznit	emphasize
tvářit	look
dálnice	highway
plátek	slice
jindy	another time
postarat	take care
Havel	Havel
tuk	fat
odložit	postpone
pořádat	hold
nákladní	Freight
stříbrný	silver
nakrájet	slice
blesk	lightning
podezřelý	suspect
jelikož	as
biskup	bishop
podobat	resembling
vyšetření	examination
expert	expert
ochranný	protective
kg	kg
předvést	demonstrate
agent	agent
statek	farmhouse
strašný	frightful
růžový	pink
včerejší	yesterday
úspěšně	successfully
titulus	titulus
svítit	shine
rostoucí	growing
Slavia	Slavia
záviset	depend
pokuta	fine
relativně	comparatively
hledání	search
dělník	worker
teda	therefore
pohnout	move
uniknout	escape
kontrolovat	control
prožít	live through
požár	fire
usadit	settle
mířit	aim
závěrečný	final
květina	flower
prudký	sharp
Tim	Tim
planeta	planet
tok	flow
citlivý	sensitive
usnout	go to sleep
opravdový	real
detail	detail
římský	Roman
vysvětlení	explanation
přijetí	adoption
překážka	hurdle
OSN	UN
senát	senate
zkoumat	examine
sklad	warehouse
Washington	Washington
klesat	decline
Paul	Paul
podnět	stimulus
uspořádání	arrangement
zpěv	singing
pracoviště	workplace
rozpor	rift
právník	lawyer
Řím	Rome
pochybovat	doubt
vybudovat	build
hladký	smooth
bolet	hurt
obdržet	receive
zákaz	ban
zavedení	introduction
směřovat	lead
federální	federal
usilovat	seek
člun	boat
snižovat	lower
Slovensko	Slovakia
kouč	Coach
věrný	faithful
Česko	Czech
dopad	impact
zázrak	miracle
kamera	camera
svědomí	conscience
náčelník	chief
odvaha	courage
architekt	architect
výkonný	executive
písnička	song
budoucno	future
zvítězit	win
vážit	weigh
tendence	trend
nutnost	need
drát	wire
železniční	railway
poezie	poetry
Tom	That
zakázat	prohibit
div	wonder
očekávání	expectations
vedlejší	minor
vysoce	highly
utíkat	run
redakce	editorial staff
uslyšet	hear
vozík	trolley
Ústí	Estuary
nápis	inscription
těžce	heavily
obal	package
pohár	cup
argument	argument
pozadí	background
šedý	gray
dramatický	dramatic
vzbudit	arouse
litovat	regret
skrz	through
anděl	angel
povodeň	flood
španělský	Spanish
heslo	password
včas	on time
veselý	hilarious
komedie	comedy
vyjádření	expression
vrchní	chief
stanovisko	opinion
dostupný	available
náhoda	accident
sýr	cheese
nasadit	put on
in	in
odvolat	appeal
Králová	Králová
omyl	mistake
jednotný	single
přítelkyně	girlfriend
poznatek	finding
řecký	Greek
fanoušek	fan
finále	finals
technologický	technological
duševní	mental
pohádka	tale
zaslechnout	overhear
ČTK	ČTK
výrok	verdict
cestovní	travel
měřit	gauge
zkušený	experienced
nahý	naked
vězeň	prisoner
kupovat	buy
vyměnit	replace
psaní	writing
funkční	functional
družstvo	cooperative
kresba	drawing
podpis	signature
továrna	factory
F	F
třikrát	thrice
trávit	digest
vystavit	issue
pistole	gun
mládí	youth
podklad	foundation
přivézt	carry
start	start
těsto	dough
ústřední	central
zadržet	withhold
Miloš	Miloš
rozhodování	decision
zvyklý	accustomed
navrhovat	suggest
šestý	sixth
drama	drama
upravit	adjust
prvý	first
scházet	meet
tvůrce	creator
T	T
zasedání	session
album	album
R	R
plzeňský	Pilsner
stihnout	catch
opřít	rest
měření	measurement
užitečný	helpful
dopoledne	morning
financování	funding
standardní	standard
kráčet	stride
oblečení	clothing
rozkaz	command
jedenáct	eleven
efektivní	effective
navzdory	despite
mateřský	maternal
zpěvák	singer
četný	numerous
vyzvat	invite
poptávka	demand
vymyslet	invent
jednoznačně	positively
pilot	pilot
vydělat	earn
nárůst	increase
ženská	woman
třebaže	although
privatizace	privatization
seriál	series
odměna	reward
vyvíjet	develop
divný	strange
ložnice	bedroom
sval	muscle
přesvědčení	conviction
Berlín	Berlin
marně	in vain
kovový	metal
tržní	market
vyhodit	blow
jemně	gently
omáčka	sauce
beton	concrete
takřka	almost
upozorňovat	alert
podnikatelský	business
vyplatit	pay off
demokrat	democrat
lžička	spoon
Daniel	Daniel
koncentrace	concentration
obsadit	occupy
obvinění	accusation
tuna	ton
vyhláška	notice
bytový	residential
ráz	nature
vzorek	sample
plot	fence
poradce	adviser
doprovázet	accompany
umírat	be dying
Československo	Czechoslovakia
naslouchat	listen
houba	fungus
pevnost	strength
vyrůst	grow
zařídit	arrange
prožívat	experience
obrazovka	screen
pozoruhodný	remarkable
sníst	eat
česnek	garlic
populace	population
hradec	hradec
investovat	invest
kapitál	capital
dopředu	forward
vstupní	input
minimálně	at least
otvor	opening
nazvat	call
definovat	define
proniknout	penetrate
určovat	determine
koalice	coalition
prohlídka	tour
hloupý	stupid
I.	I.
naznačovat	denote
sféra	sphere
paprsek	beam
orientace	orientation
přecházet	pass
zemědělství	agriculture
globální	global
ukrást	steal
natáhnout	stretch
ponechat	leave
sedadlo	seat
trouba	oven
kout	nook
týkající	on
zlepšit	enhance
blázen	crazy
kyselina	acid
naznačit	suggest
rus	rus
gesto	gesture
sousední	neighboring
osa	axis
potvrzovat	confirm
školství	education
štáb	staff
potrava	aliment
kov	metal
absolutní	absolute
brzký	early
stadión	stadium
účastnit	participate
odvést	divert
rozumný	reasonable
skočit	jump
Lucie	Lucie
nato	on it
uspět	Succeed
výborný	excellent
popřípadě	or
naleznout	find an
uvěřitelný	believable
jenomže	But
lůžko	bed
zahájení	initiation
česko	Czech
Harry	Harry
plod	fetus
vyjet	start
pláž	beach
takovýto	such
centimetr	centimeter
zanechat	leave
hloubka	depth
následný	follow-up
Michael	Michael
špinavý	dirty
žid	Jew
novela	short story
odehrát	play
plnění	performance
uspořádat	organize
zranit	hurt
daleký	far
palivo	fuel
stavit	come by
strategický	strategic
důchod	retirement
stan	tent
ulička	alley
nález	finding
hoch	boy
vypadnout	fall out
vyvinout	evolve
NHL	NHL
točit	spin
zavrtět	shake
dárek	gift
rytmus	rhythm
posádka	crew
ČT	CT
falešný	false
desetiletí	decade
Izrael	Israel
obracet	turn
dílna	workshop
pepř	pepper
podotknout	remark
radní	councilor
výstup	output
náhrada	replacement
tepelný	thermal
sex	sex
povolit	permit
dopustit	commit
obecní	municipal
překročit	exceed
vyrobit	produce
hnát	drive
kolej	college
morální	moral
scénář	screenplay
hrozba	threat
výlet	outing
polévka	soup
skleněný	glass
brankář	keeper
hovor	call
akademie	academy
světlý	light
charakteristický	characteristic
poledne	noon
tuzemský	home
proslulý	renowned
senátor	senator
chodník	walkway
měsíční	monthly
přirozeně	naturally
provázet	go along
jednoduše	simply
nakrájený	sliced
plamen	flame
lidstvo	humanity
aspekt	aspect
rozvíjet	develop
odrážet	reflect
parametr	parameter
střílet	shoot
ohrozit	compromise
svah	rise
přihlásit	sign in
zapsat	write
dohled	surveillance
nezaměstnanost	unemployment
živit	nurture
provozní	operating
uplatňovat	exercise
pokyn	instruction
obyčejně	usually
přestávka	break
advokát	lawyer
slavnostní	festive
zastupitelstvo	council
katolický	Catholic
hokejista	hockey player
úcta	esteem
jeskyně	cave
nábytek	furniture
Polsko	Poland
zlobit	annoy
důl	mine
podání	submissions
ručení	liability
vzniklý	formed
inženýr	engineer
přeprava	transportation
ropa	oil
jablko	apple
jeviště	stage
sloup	column
měna	currency
živočich	animal
brýle	eyeglasses
D	D
zahynout	perish
Španělsko	Spain
posílit	strengthen
Dick	Dick
vlastnictví	property
dostatek	enough
úspora	saving
olomoucký	Olomouc
dvacátý	twentieth
vstupovat	enter
vzájemně	mutually
dotýkat	touch
důraz	emphasis
skrytý	hidden
míč	ball
zdůrazňovat	emphasize
poblíž	near
pravděpodobnost	probability
slib	promise
Jim	Them
O	About
přijatelný	acceptable
postihnout	affect
nenávidět	hate
plukovník	colonel
pronést	interject
salát	salad
moravský	Moravian
porážka	defeat
poškodit	damage
plátno	screen
