a	the
végén	At the end of
Budapest	Budapest
történő	to
elő	live
amerikai	American
jelentős	significant
angol	English
évben	year
vonatkozó	concerning
álló	standing
elsősorban	primarily
ország	country
jelenleg	currently
többi	other
jelenleg	currently
alá	below
európai	European
vagyunk	we're
négy	four
szükség	need
természetesen	naturally
éve	Year
évek	years
hát	back
film	movie
melyek	which
azaz	namely
megy	go
magas	high
elmúlt	past
lehetséges	possible
pár	par
sőt	moreover
amelynek	which
szintén	also
általános	general
csupán	only
igazán	really
német	German
esetében	for
mintha	as if
később	later
igazi	real
először	first
nemcsak	not only
ahhoz	thereto
ellenére	despite
has	stomach
korábban	earlier
fél	party
október	October
közötti	between
sokat	lot
jelenti	means
város	city
belső	internal
regisztrált	registered
ismét	again
mert	because
nagyon	very
társadalmi	social
harmadik	third
pont	point
egyébként	otherwise
fenntartva	Reserved
kérdés	issue
kormány	government
Péter	Peter
kisebb	less
már	already
tényleg	really
eredeti	original
addig	before
helyen	location
annyira	so much
lehetőség	possibility
oldalon	website
munka	work
voltam	I've
óra	watch
hol	where
helyett	instead of
úgy	so
valóban	really
érdemes	worth
soha	never
vált	change
senki	no one
tenni	do
rövid	short
melyet	by
hiszem	I believe
mondja	says
lehetett	could
megfelelően	properly
lehetőséget	option
létre	created
lenni	to be
jött	came
valamit	something
ezért	therefore
férfi	man
hát	back
mintegy	like a
ezeket	these
tett	deed
közel	close
egyszerű	simple
hét	seven
egészen	quite
sor	line
szerintem	I think
korábbi	former
utóbbi	latter
adatok	Data
linux	linux
gyakran	often
követően	Following
kép	picture
nehéz	difficult
ugyan	though
rajta	on
venni	consideration
amikor	when
meghatározott	specified
akar	will
lehetővé	possible
tagja	Member
hat	six
tudok	I can
melynek	with
este	evening
felhasználó	User
működik	work
bele	into
igen	yes
von	von
persze	of course
róla	about
jön	come
lehetne	could be
akkor	then
élő	live
jelen	present
ill	and
végre	finally
különösen	in particular
bár	bar
magam	I
közé	between
képest	compared to
sajnos	unfortunately
felhasználók	Users
körül	around
megjelent	published
többet	more
fiatal	young
nemzeti	national
vezető	conductor
akinek	whose
neve	title
ismert	known
napon	day
also	bottom
szól	speak
tartozik	belongs to
jár	go
forint	forint
vagyis	that is,
történik	happen
érdekes	interesting
mail	mail
előző	previous
Ferenc	Ferenc
célja	The purpose
oda	ode
megint	again
elején	at the beginning
személyes	personal
továbbá	furthermore
tudjuk	We can
előre	forward
alkalommal	time
internet	Internet
végül	finally
szervezet	organization
játék	game
ezen	this
évvel	years
mivel	because
amíg	until
állami	state
ezzel	with this
komoly	serious
természetes	natural
semmit	nothing
fogja	will
hatalmas	powerful
folyamatosan	continuously
jelenlegi	current
legfontosabb	main
időben	on time
nekünk	us
ebben	in this
egy	one
egy	one
véleményed	your opinion
külföldi	foreign
pontosan	exactly
attól	from
látható	visible
van	there is
területén	field
tűnik	seems
sokan	many people
született	born
neked	thee
ehhez	to
részére	for
speciális	special
csapat	team
helyzet	state
keretében	framework
néha	sometimes
jogi	legal
tart	hold
maradt	remaining
vett	took
nekem	me
baj	trouble
rendelkezik	has
tette	his
tartott	held
hivatalos	official
marad	stay
elnöke	chairman
írta	written by
kevés	few
tehát	Therefore,
idén	this year
tartja	hold
napja	ago
egyáltalán	at all
minél	more
azonos	same
részben	partially
egyszerűen	simply
szeretnék	I would like to
den	den
mint	as
vagy	or
alkalmas	suitable
szerinti	according to
egyéni	individual
szent	saint
perc	minute
erről	about
alig	barely
amennyiben	inasmuch
azonnal	immediately
minden	all
jövő	future
legtöbb	most
szinten	also
ideje	Time
rendelkező	with
betű	letter
tudományos	scientific
nekik	them
amelyben	where
használt	used
országos	national
figyelembe	taking
gyors	fast
külső	outdoor
aki	who
eladó	seller
gyorsan	fast
pontos	accurate
továbbra	continue
erős	powerful
elé	before
lesznek	will
válik	become
években	years
mondani	say
láttam	I saw
Gábor	Gabor
iskola	school
annyi	so much
system	system
tartalmazza	contains
mindenkinek	Everyone
egyaránt	equally
legújabb	Latest
gondolom	I think
kedves	Dear
megyei	County
ingyenes	free
Sándor	Sandor
mar	bite
tartalmaz	It contains
további	further
tudják	they
állt	stood
főleg	especially
erre	this
vélemény	opinion
hagyományos	traditional
meg	to
tartozó	included
adni	give
jut	come
csoport	group
említett	mentioned
lehet	may
úton	en route
részét	part
könyv	book
kulturális	cultural
helyet	location
sajnos	unfortunately
annyit	much
ebből	from this
alábbi	below
ért	understand
kap	receive
fekete	black
mondjuk	say,
talán	maybe
probléma	problem
üzleti	business
nevű	more
mértékben	degree
napi	daily
név	name
tesz	do
egyet	one
személy	person
utána	after
ment	save
könnyen	easy
szervezetek	organizations
szívesen	willingly
valamilyen	any
oka	reason
kizárólag	exclusively
György	George
sincs	no
time	time
fórum	forum
munkát	work
egyébként	otherwise
írd	Write
nagy	great
egyedül	alone
választ	choose
engem	me
működő	active
jutott	remembered
tudni	to know
ugyanakkor	However,
francia	French
adja	enter
számú	No.
végzett	finished
section	section
Jézus	Jesus
mire	what
belőle	out
pénzügyi	financial
magyarországi	Hungary
tudtam	I could
társadalom	society
szeptember	September
sokszor	often
tíz	ten
mit	what
szociális	social
mások	others
információk	Information
rendkívül	Extremely
látszik	seem
központi	central
bizottság	committee
épp	right
természetesen	naturally
állandó	permanent
modern	modern
szerepet	role
írt	wrote
hely	place
összesen	all
embert	man
kötelező	compulsory
családi	family
egyben	at the same time
egymás	each other
lassan	slowly
egymást	each other
nemzeti	national
idején	at the time
annál	more
olyan	so
két	two
szóval	so
mondom	Telling
egyszerre	at the same time
valószínűleg	probably
minket	us
anyagi	material
tanár	teacher
ekkor	at
egyesült	united
szám	number
függ	It depends
Zoltán	Zoltan
anyag	substance
század	century
révén	through
király	king
tagjai	Members of
látogató	visitor
mutatja	shows
család	family
támogatás	aid
válasz	answer
programok	Programmes
formában	shape
bármilyen	any
miért	why
bennünket	us
azóta	ever since
múlva	After
eljárás	proceedings
fehér	white
helyezett	place
elektronikus	electronic
bármely	any of
elleni	anti
nevét	the name
közvetlenül	immediately
nagy	great
írja	writes
használni	to use
leginkább	mostly
tudta	He knew
kevesebb	less
érkezett	arrived
önálló	independent
szerepel	included
ház	house
várható	expected
felett	over
jellegű	character
ilyen	such
széles	wide
szépen	beautifully
képet	image
oktatási	Education
kereskedelmi	trade
feladata	task
országos	national
miközben	while
vendég	guest
előbb	before
sikeres	successful
vége	end
valamennyi	all
közvetlen	direct
víz	water
megoldás	solution
november	November
feladat	task
tetszik	like
lány	girl
múlt	past
mögött	behind
igénybe	available
azért	therefore
Imre	Imre
kevésbé	less
alapvető	essential
folyamatos	continuous
dolgot	things
tudod	You can
jelenik	will
nélküli	Wireless
elérhető	available
tér	space
látni	see
közt	between
oly	so
hozott	brought
egészségügyi	sanitary
rendszerek	Systems
tudnak	they
héten	week
ami	which
pozitív	positive
képek	Pictures
fenti	list
típusú	type
több	more
téma	topic
melyik	which
végig	through
azoknak	for
önkormányzat	local government
különleges	special
szót	word
amelyeket	which
magasabb	higher
mellé	next to
veszi	takes
nem	no
érte	for it
kéne	I should
műszaki	technical
magad	yourself
lap	sheet
ára	Price
szempontból	point of view
állam	state
többek	others
jellemző	features
mindkét	both
otthon	home
reggel	morning
szellemi	intellectual
tőle	his
hamarosan	shortly
vezetője	leader
olasz	Italian
biztosan	surely
könnyű	easy
iránt	towards
Tamás	Thomas
termék	product
hónap	month
készített	created
intézmény	institution
tudunk	We can
elmondta	He said
használható	usable
látom	I see
digitális	digital
indult	started
kapcsolódó	related
figyelmet	attention
így	so
kiváló	great
vette	It took
nálunk	book
többször	repeatedly
megjelenő	published
területen	area
alakult	founded
zenei	musical
miután	after
technikai	technical
Pál	Paul
biztonsági	Security
bizottság	committee
magukat	you
függetlenül	independently
szempontjából	terms
szereplő	included
eddigi	so far
kissé	slightly
mennyire	how
velük	them
gyerekek	children
létezik	exist
nyílt	open
termékek	Products
akarja	To
autó	car
állnak	available
tudott	could
verseny	competition
kapcsolatot	contact
helyes	correct
darab	play
ezer	thousand
budapesti	Budapest
történelmi	historical
követő	follower
szerződés	agreement
hozzászólások	Posts
abból	therefrom
intézmények	Institutions
amennyiben	inasmuch
tiszta	clear
nyelv	language
nyújt	offers
föl	up
cím	title
május	May
női	female
feltételek	conditions
hasonlóan	Like
adatokat	data
ezelőtt	ago
anyagok	Materials
egyetemi	university
civil	civil
eszközök	means
pénz	money
majdnem	almost
értem	I understand
sok	lot
egymással	each other
miniszter	minister
kezdve	From
majd	then
gyermek	child
szerzett	acquired
dolgok	things
rendszert	system
szeretném	I would like to
köszönhetően	owing to
rész	part
nők	women
terület	area
gép	machine
gyerek	child
rendelkezésre	available
látja	sees
meleg	hot
képesek	able
keres	look for
kész	ready
gyakorlati	practical
feladatok	Tasks
segítséget	help
ugye	right
következtében	due to
egyedi	unique
tartani	Keep
társaság	company
jóval	much
írni	write
rengeteg	a lot of
kérjük	please
semmilyen	no
rendelet	decree
Attila	Attila
körülmények	conditions
január	January
tegnap	yesterday
önkormányzati	local government
szintű	level
gond	worry
aktuális	current
que	que
pénzt	Money
érdekel	I am interested
ideig	time
hírek	news
idegen	foreign
érvényes	valid
időt	time
cikk	article
országban	country
rendszeresen	regularly
máris	already
vár	Castle
súlyos	serious
tavaly	last year
pedig	in turn
alacsony	low
szolgáltatás	service
járt	visited
ennyi	so much
adta	by
ehhez	to
szolgáltatások	Services
díj	fee
amint	as
zene	music
jelentette	said
iskolai	school
tervezett	planned
piaci	market
cégek	Companies
hírek	news
tudsz	You can
egyelőre	for the time being
magának	himself
december	December
milyen	what
hiba	failure
szólt	Commented
elnök	chairman
vesz	buy
legalábbis	at least
számít	calculate
szóval	so
címmel	title
polgári	civil
tevékenység	activity
állapotban	condition
akiknek	whose
nehezen	hard
forintot	HUF
idei	This year
hogyan	how
aminek	with
használata	Using
dolgokat	things
Miklós	Miklós
feltétlenül	absolutely
kapcsán	connection
konkrét	concrete
velem	with me
indul	start
beteg	patient
írtam	I wrote
gondoltam	I thought
utáni	after
legfeljebb	at most
kapcsolat	link
egységes	unified
tartalmazó	with
életét	life
mást	nothing
képviselő	representative
hisz	think
előzetes	preliminary
illeti	Concerning
járó	with
ettől	from
napig	days
augusztus	August
Krisztus	Christ
március	March
keresztény	Christian
eltérő	different
lép	spleen
menni	to go
mindössze	Only
nincsenek	no
sikerül	succeed
adminisztrátor	administrator
néhány	some
észre	notice
operációs	operating
évre	year
szerepe	The role
fizikai	physical
ráadásul	moreover
vajon	whether
épület	building
címet	address
szent	saint
lehetnek	may be
támogatást	assistance
haza	home
ennél	more
előtti	pre-
esik	fall
különös	strange
internetes	online
száz	hundred
esett	fell
amire	what
egy	one
június	June
teszik	make
hirtelen	suddenly
Béla	Béla
fiatalok	youth
készül	made
unió	union
információ	information
különféle	various
háború	war
programot	program
köteles	bound
körében	among
jövőben	future
részletes	detailed
némi	some
tartó	holder
cél	target
élete	life
hasznos	helpful
fognak	will
kötött	bound
együttes	combined
megvan	I have
nyelvű	speaking
helye	Location
mégsem	Cancel
rendelkeznek	with
évig	years
bizony	certainly
kapnak	Receive
szeretnénk	To
támogatja	Supports
származó	deriving
számított	calculated
viszont	however
embernek	man
információs	Information
lelki	spiritual
bal	left
levő	on
nos	well
szeretne	you want
érintett	affected
tanács	advice
szolgáló	serving
nevet	laugh
hatása	Effect
szöveg	text
ekkor	at
folyamat	process
katonai	military
képzés	training
oldalán	section
történet	story
internet	Internet
egykori	onetime
kérdések	Issues
kerülnek	are
megye	county
ipari	industrial
hosszabb	longer
névtelen	anonymous
olvasható	readable
akarok	I want
nyitott	open
köszönöm	Thanks
július	July
fogva	reason
utca	street
pályázati	tender
pályázat	competition
esetleges	accidental
segíteni	help
remélem	I hope
országok	Countries
csinálni	do
néven	As
óriási	giant
április	April
orosz	Russian
gazdag	rich
eredmény	result
kicsi	little
hozzászólás	Posts
továbbiakban	further
dolgozik	work
címe	Address
kérdést	question
Károly	Charles
havi	monthly
felelős	responsible
személyi	personal
szoftver	software
vettem	I bought
pozitív	positive
valódi	real
egy	one
két	two
értelmében	Under
mikor	when
aktív	active
igaz	true
először	first
tökéletes	perfect
kezdett	started
egyetem	university
zöld	green
érzem	feel
felelősséget	responsibility
oktatás	education
életet	life
mindegy	all the same
problémák	Issues
oldalt	sideways
nép	people
hang	voice
többen	more
kívánt	required
pontja	point
levelet	write
messze	far
kezd	begin
utoljára	the last time
szerző	author
tartalma	The content
filmet	Movie
úgy	so
ilyenkor	When such
kovács	blacksmith
foglalkozó	dealing
százalékos	percent
apró	small
megadott	given
barátom	my friend
eddig	so far
szabadon	free
fiú	boy
mondtam	I said
egyház	church
veszélyes	dangerous
honlap	Website
kedvenc	favorite
vezet	lead
világban	World
ugyanakkor	However,
viszonylag	relatively
kultúra	culture
regisztráció	Sign Up
bárki	anyone
úgynevezett	so-called
párt	party
eszembe	mind
nyelven	language
minisztérium	ministry
nyugati	west
évente	annually
mindenképpen	in any event,
használja	uses
fent	above
oldalra	page
embereket	people
mindenkit	everyone
úgyhogy	so
hozza	bring
maguk	themselves
értelemben	sense
különbség	difference
foglalkozik	deal
ajánlott	recommended
nyert	won
test	body
szabó	tailor
katolikus	Catholic
klasszikus	classic
uniós	Union
helyre	location
kíván	wish
sorozat	series
erősen	strongly
egészséges	healthy
alapítvány	foundation
pontot	point
számomra	me
komolyan	seriously
hátsó	rear
ott	there
les	les
százalékkal	percent
rendben	okay
éven	years
jelentősen	significantly
valójában	in fact
rögtön	immediately
valamelyik	one
immár	now
azután	after
információkat	information
tagok	Members
független	independent
délután	afternoon
biztosítja	provided
néz	look
közepén	in the middle
tartom	I
címen	at
várja	offers
alatti	below
híres	famous
cikkek	Articles
felső	upper
képeket	Pictures
kellemes	pleasant
innen	hence
biztosít	grant
beszél	speak
költségvetési	budgetary
városi	urban
látta	saw
informatikai	IT
öreg	old
biztosítani	provided
rosszul	poorly
végül	finally
zárt	closed
következik	follows
kemény	chimney
kivéve	except
meghatározó	determinative
hallottam	I heard
sötét	dark
hallgatók	students
közösen	together
általa	it
hős	hero
tartják	considered
színes	colorful
hálózati	power
kaptam	I got
üzenet	message
hiába	in vain
tény	fact
lakás	apartment
valahol	somewhere
élni	to live
megoldást	solutions
megyei	County
kettő	two
amúgy	anyway
ahogyan	as
tekintetében	As regards
remélem	I hope
heti	weekly
vállalat	company
közösség	community
akartam	I wanted
szüksége	need
órakor	o'clock
életben	life
sokáig	long
látott	saw
ahogy	as
amivel	which
friss	fresh
Mihály	Mihály
legyenek	are
ebből	from this
iránti	for
fele	half
gyakorlatilag	practically
felhasználása	Use of
lehetőségek	Activities
akarsz	do you want
mutat	show
szegény	poor
áron	price
valahogy	somehow
part	coast
lakosság	population
másrészt	on the other hand
lényeg	essence
föld	ground
problémát	issue
részéről	for
számítógépes	computer
ismeretlen	unknown
elérni	reach
per	grayling
negyedik	fourth
világon	world
magában	himself
példa	example
hallgató	student
folyamán	during
alkalmazott	employee
hozzászólást	Comment
eléggé	enough
helyzetben	situation
százaléka	percent
közösségi	communal
gyönyörű	beautiful
asszony	woman
mostani	present
pillanatban	moment
mielőtt	before
mindenféle	any
célra	purpose
oldalak	Websites
információt	information
témát	theme
nézve	looking at
nyugodtan	quietly
szeretem	love
időszakban	time
kerültek	They were
automatikusan	automatically
vizsgálat	investigation
épült	built
hivatal	office
adó	tax
fölött	Above
más	other
vasárnap	Sunday
orvosi	medical
kapta	received
válasz	answer
többnyire	mostly
téren	area
nincsen	There is no
piac	market
díjat	awards
ezután	thereafter
terén	area
folyó	river
máj	liver
világot	World
címre	address
jogosult	entitled
véve	account
melyben	where
egyházi	ecclesiastical
környezet	environment
kattintva	Clicking
csoportok	groups
fogják	will
hálózat	network
döntés	decision
szakemberek	Professionals
várhatóan	expected
lehetősége	Possibility
férfiak	men
beszélni	speak
körben	round
közönség	audience
egyértelműen	clear
fogok	I will
hamar	soon
rám	me
jót	good
munkáját	work
kétszer	twice
lépett	entered
napot	Day
nyári	summer
jogok	Rights
folyik	flow
szeretné	you want
fórum	forum
fenn	reservations
véletlenül	accidentally
szokásos	usual
ezután	thereafter
projekt	Project
utat	trip
régen	long ago
Tibor	Tibor
története	History
orvos	doctor
kezdődik	begin
kiderült	revealed
kifejezetten	expressly
zenekar	orchestra
érték	value
hatására	effect
gyermekek	children
velünk	us
alól	from
ezúttal	this time
ismeri	recognize
eszköz	device
számítógép	computer
magyarok	Hungarians
intel	intel
szavazás	vote
kialakult	developed
kapni	receive
leszek	I will be
partner	partner
formájában	form
gyenge	weak
adnak	they
legjobban	best
igény	claim
személyek	Persons
grafikus	graphic
végére	By the end of
ugyancsak	likewise
regionális	regional
miként	how
nőtt	grew
eredménye	results
tekintettel	view
játszik	play
útján	through
február	February
kérem	please
alkalmazni	apply
akart	He wanted
nyolc	eight
csodálatos	wonderful
mondott	said
sajátos	particular
csökkent	reduced
vezetői	managerial
méretű	Size
tetszett	I liked
lista	list
onnan	thence
dolgozni	to work
nyújtott	provided
hatékony	effective
életében	life
gyakorlat	practice
például	for example
halál	death
levél	letter
többsége	Most
tekintve	view
köztük	including
hideg	cold
mennyi	how much
kedvező	favorable
jelszó	password
joga	yoga
végső	final
üres	empty
lásd	see
forintos	HUF
városban	town
méltó	worthy
román	Romanian
választási	election
okoz	cause
másodperc	second
fejlesztési	developmental
olvastam	read
illetőleg	respectively
kiemelt	emphasized
megyek	I'm going to
nappal	day
örök	eternal
átlagos	average
hír	news
hány	how many
sms	sms
different	different
szervezett	organized
település	settlement
minőségű	quality
író	writer
vezetett	guided
talált	found
megjelenik	appear
kívánja	wishes
rendszeres	systematic
tanfolyam	course
kapsz	you get
miután	after
élt	lived
alsó	lower
naponta	daily
igazság	truth
erkölcsi	moral
kutya	dog
melyeket	which
dolgozott	worked
templom	temple
szeretet	love
normális	normal
önkormányzatok	municipalities
ingyen	Free
kezdte	started
hozta	brought
Mária	Mary
okt	October
mezőgazdasági	agricultural
döntött	decided
ugyanaz	same
eső	and he
meglévő	available
előtte	before
ugyanúgy	as well
igazgatója	director
kék	blue
negatív	negative
kommunikációs	Communications
egyesület	association
módszer	method
boldog	happy
kérdése	question
szabályok	regulations
közölte	said
vonatkozik	refers
meglehetősen	pretty
sőt	moreover
szerver	Server
nálam	I have
rendszerben	system
egymástól	apart
állandóan	constantly
voltunk	we've
magára	himself
nemzetközi	international
kiderül	reveals
piacon	market
amúgy	anyway
zsidó	Jewish
eset	case
tulajdonképpen	actually
élnek	living
százalék	percentage
nyelvi	linguistic
est	evening
szerződést	contracts
bejelentette	announced
foglalja	book
verzió	version
szolgáltatást	service
környezetvédelmi	Environment
engedélyével	permission
fővárosi	metropolitan
történelem	history
nyilván	record
mond	say
napos	sunny
megtalálható	found
szerelem	love
alkalmazása	Application
használják	used
modell	model
műszaki	technical
egyrészt	on the one hand
csaknem	almost
választott	elected
gazdaság	economy
valakinek	someone
vállal	undertake
kor	time
jövőre	next year
utcai	street
elegendő	sufficient
holnap	tomorrow
intézet	institute
szoba	room
nyilvános	public
határozza	determined
napján	day
működését	operation
római	Roman
szerzői	author's
anyagot	material
kezdődött	started
akiket	who are
sosem	never
Tóth	Toth
találtam	I found
ritkán	rarely
görög	Greek
szem	eye
amelyik	which
érzi	feel
mondják	said
értéke	value
tűnt	appeared
rendőrség	police
kapcsolatba	Contact
kínál	offer
bíróság	court
eredmények	Results
japán	Japan
napokban	days
amelyen	which
kisebbségi	Minorities
megbízható	reliable
függően	Depending on
alapvetően	basically
dolgozó	working
politika	politics
életpontot	hit points
kattints	click
ügyben	case
karakter	characters
könyvet	book
must	musts
irodalom	literature
fia	son
számát	The number
egyike	One
többé	more
szervezeti	organizational
akarnak	they want
fajta	species
foglalt	busy
mindennapi	everyday
lemez	plate
rendkívüli	extraordinary
hoz	to
ezáltal	thereby
amit	what
szolgáltató	Service
fejlesztése	Development
népszerű	popular
természet	nature
többiek	others
összeg	amount
abba	in that
alapú	based
irodalmi	literary
tanulók	students
működési	functional
rájuk	them
változás	change
lennie	be
kapcsolatok	contacts
változata	version
avagy	or
okozott	caused
jogot	right
sohasem	never
minőségi	qualitative
extra	extra
későbbi	later
keresek	Seeking
ennyire	so
találni	find
játszani	Play
volt	It was
feladatokat	tasks
rendezett	ordered
időre	time
gombra	Next
fizetni	to pay
előadás	live stream
itthon	home
személyesen	personally
legfőbb	chief
kedves	Dear
fogom	I will
véget	an end
számot	number
könyvtár	library
gondolja	think
falu	village
valamely	a
helyét	location
nevében	on behalf of
képviselői	Representatives
ebbe	in this
környezeti	environmental
környezetben	area
bármikor	whenever
brit	Briton
jelentése	Report
bekezdés	paragraph
drága	expensive
állítja	Sets
segít	help
kíváncsi	curious
kiadó	publisher
tartotta	held
magunkat	ourselves
legmagasabb	top
természeti	natural
szövetség	covenant
diákok	students
akarom	I
fontosabb	importantly
elektromos	electrical
mély	deep
azok	they
században	Century
amiben	which
nézni	watch
elől	Tires
vannak	are
elméleti	theoretical
közeli	close
segíti	assists
erről	about
bekezdése	Regulation
terv	plan
játékos	player
hatalom	power
témában	topic
talál	find
véleményét	Review
játszott	played
abszolút	absolute
furcsa	strange
ajánlom	I recommend
anélkül	without
illetően	as regards
tele	full
aránya	ratio
vizet	water
szolgál	serve
tervek	plans
beszélt	spoken
főként	mainly
illetékes	competent
veszik	taken
biztosított	insured
kutatási	Research
gépek	Equipment
telefon	phone
hiszen	because
tökéletesen	perfectly
hírek	news
kaptak	received
egyetem	university
kiegészítő	additional
valós	real
kínai	Chinese
árak	Prices
technológia	technology
lélek	soul
kiállítás	exhibition
három	three
felhasználói	User
címed	address
tavalyi	last year's
nyáron	in summer
körüli	about
hiányzik	miss
betegség	disease
értelme	Meaning
hit	faith
amiket	what
amellyel	which
játékok	Games
keleti	east
lehessen	be
éjszaka	night
elfogadott	accepted
méter	meter
egység	unit
bennem	me
tartanak	hold
just	just
kör	disease
piros	red
szombaton	on Saturday
jelzi	Indicates
kereskedelmi	trade
sikert	success
alap	basis
érkezik	come
kinek	everyone
fejét	head
Európában	Europe
azonban	but
tegnap	yesterday
nyomán	Following
végéig	the end
általában	usually
kapható	available
korai	early
értékű	featured
területi	regional
rendelkezésére	available
arra	to
finom	fine
téged	you
védett	protected
maximum	maximum
érintő	touch
számunkra	us
miniszterelnök	prime minister
ismeretek	skills
céljából	in order to
köszönöm	Thanks
világos	clear
lényeges	essential
tétel	item
kérdésre	question
jönnek	come
keresni	search
vevő	customer
ilyet	thing
központ	center
változások	changes
szempontok	Considerations
küldj	send
véleménye	reviews
eredményt	results
ráadásul	moreover
saját	own
tevékenységet	activities
török	Turkish
kiadott	issued
esetekben	cases
zenét	music
isteni	divine
közelében	close
üdv	welcome
szokott	usual
nem	no
úgyhogy	so
szemmel	eyes
olvasni	read
mellyel	which
ránk	us
lehetőségét	possibility
lettek	They were
add	add
hónapban	month
fontos	important
évet	Year
vizsgálata	Examination
akkori	then
szereti	Dislikes
polgármester	mayor
magába	Included
eredetileg	originally
események	Events
ügy	case
remek	great
értek	I
sorban	line
órát	watch
munkája	work
állat	animal
megállapodás	agreement
életre	life
kerülő	to be
várjuk	We await
játékot	games
közlekedési	Transport
mobil	mobile
adat	data
folytatott	with
nappali	living room
idők	Times
alakul	develops
valaha	ever
rendesen	neatly
különben	or else
kialakítása	design
lehető	possible
titkos	secret
figyelmét	attention
éreztem	I felt
körülbelül	about
jól	well
társaság	company
másfél	one and a half
ft/db	EUR / piece
figyelemmel	Subject to
biztosító	insurer
magával	along
hozni	bring
hajlandó	willing
változó	variable
fordult	turned
adatait	details
kivételével	Except
betegek	patients
korrekt	correct
elkészült	finished
kategóriában	category
távoli	remote
veled	with you
önmagában	itself
küldött	sent
emlékszem	remember
időszak	period
helyzetet	situation
lényege	The essence
hazánkban	Hungary
ellentétben	Contrary
töltött	stuffed
megfelel	meets
alacsonyabb	lower
nála	with him
fény	light
pályázatot	competition
véletlen	accidental
nyílik	open
rég	a long time ago
tudomány	science
millió	million
akarta	wanted
miszerint	that
mindig	always
állatok	Animals
kormányzati	governmental
kötet	volume
körű	comprehensive
adják	sold
témák	Themes
lennék	I'd
alapja	foundation
ezeket	these
Ltd.	Ltd.
hiánya	Lack
írásbeli	Written
kiss	kiss
csökken	decreases
tartoznak	included
javaslat	proposal
mindez	all
változott	changed
kettős	dual
tudás	knowledge
eleget	meet
korszerű	modern
mindenki	everyone
osztrák	Austrian
kiemelkedő	outstanding
szülők	parents
felnőtt	adult
fejlesztés	development
óráig	hours
fordul	turn
belüli	within
szerepelt	featured
gonosz	evil
utal	imply
fejlődés	development
