být	be
číslo	number
jenom	only
dále	further
uvést	state
znovu	again
možná	maybe
služba	service
jestli	whether
situace	situation
stejný	the same
hodiny	hours
měsíc	Moon
získat	gain
čtyři	four
jméno	name
dveře	doors
daleko	far
otec	father
znát	know
změna	change
evropský	European
většina	most
nakonec	eventually
nyní	now
noc	night
snažit se	try
síla	power
zde	here
dojít	come
potom	then
znamenat	mean
vypadat	look
pět	five
informace	information
americký	American
trochu	a little
týden	week
důležitý	important
příliš	too
vztah	relationship
trh	market
tělo	body
válka	war
hned	immediately
slyšet	hear
téměř	almost
dlouho	long
rodina	family
zatím	yet
rozhodnout	choose
výsledek	outcome
ano	yes
pracovat	work
státní	state
pohled	view
zájem	interest
zeptat se	ask
ulice	street
potřebovat	need
tvář	face
zdát se	seem
kniha	book
důvod	reason
hlas	voice
film	movie
pravda	truth
někdy	sometimes
objevit	discover
dost	enough
základní	basic
zcela	completely
přitom	yet
paní	Ms
smrt	death
matka	mother
sice	Although
rychle	quickly
cítit	feel
minuta	minute
pár	couple
procento	percentage
program	program
určitý	some
večer	evening
během	during
existovat	exist
kvůli	about
hodnota	value
bílý	white
noha	foot
jistý	some
jednou	once
podívat se	look
včera	yesterday
plný	full
člen	member
vlastně	actually
lidský	human
sedět	sit
podmínka	condition
vždy	always
navíc	moreover
osoba	person
hra	game
počet	count
tehdy	then
republika	republic
přímo	right
stav	status
banka	bank
politický	political
hodina	lesson
obraz	image
zejména	especially
ať	whatever
činnost	activity
podnik	enterprise
jinak	otherwise
druh	kind
soud	court
opět	again
národní	national
úřad	office
podobný	similar
deset	ten
kromě	except
nejen	not only
auto	car
ukázat	show
černý	black
zda	whether
platit	pay
špatný	bad
otevřít	open
vždycky	always
dávat	give
cíl	target
psát	write
chodit	walk
jednotlivý	single
sociální	social
považovat	consider
současný	contemporary
Evropa	Europe
neboť	because
Jan	John
zpráva	report
typ	type
policie	police
stačit	suffice
opravdu	really
skutečnost	reality
věřit	believe
pocit	feeling
dílo	work
silný	thick
sto	hundred
spolu	together
německý	German
vedle	next to
tvrdit	claim
základ	foundation
pořád	always
bůh	god
prostředí	environment
samozřejmě	of course
jet	go
zřejmě	apparently
zjistit	find out
světlo	light
smysl	sense
směr	direction
růst	growth
ředitel	director
ráno	morning
zatímco	while
myslet	think
láska	love
divadlo	theater
proces	trial
podařit se	do well
forma	form
stůl	table
prý	allegedly
pokračovat	continue
sem	here
názor	opinion
těžký	heavy
okno	window
pomoci	help
světový	worldwide
napsat	write
smlouva	agreement
veřejný	public
skončit	end
začínat	begin
rada	advice
ležet	lie
přítel	boyfriend
kraj	county
úplně	completely
třetí	third
odpovědět	answer
změnit	change
dodat	supply
krásný	beautiful
byt	apartment
nutný	necessary
jednat	deal
pracovní	working
hledat	search
vývoj	development
prezident	president
role	role
představovat	represent
pokoj	room
období	season
nízký	low
přesto	yet
vyjít	come out
bývalý	former
polovina	half
projekt	project
dívat se	watch
připravit	prepare
takzvaný	so-called
potřeba	need
používat	use
držet	hold
ministr	minister
vůz	car
zároveň	together
dosud	yet
doktor	doctor
funkce	function
naopak	conversely
volba	option
zvláštní	strange
jasný	clear
syn	son
teprve	only
obec	village
akce	action
zdroj	source
pražský	Prague
úroveň	level
rozdíl	difference
významný	significant
trvat	last
hlavně	mainly
prostor	space
šest	six
řízení	management
stavba	building
životní	life
klub	club
miliarda	billion
pomoc	help
prostě	just
organizace	organization
vydat	issue
bývat	dwell
tým	team
díky	thanks
skutečně	really
no	well
centrum	center
začátek	beginning
přesně	exactly
srdce	heart
krok	move
dosáhnout	reach
prostředek	means
postavit	stand
obchodní	business
působit	act
materiál	material
odejít	leave
společný	common
tolik	so much
autor	author
domácí	home
náklad	load
návrh	proposal
kam	where
finanční	financial
řešení	solution
brát	take
vliv	effect
Petr	Peter
míra	degree
zařízení	equipment
jistě	surely
konečně	finally
onen	that
výroba	production
mezinárodní	international
zastavit	stop
lékař	doctor
vhodný	suitable
jednání	negotiation
smět	may
politika	politics
půl	half
schopný	able
obchod	business
kolo	bike
rovněž	also
zápas	match
umění	art
hranice	border
loď	ship
umět	know
vytvořit	create
doma	home
určitě	definitely
ministerstvo	ministry
poté	after
postup	approach
velice	very
místní	local
zkušenost	experience
rodič	parent
bod	point
pán	lord
tvořit	generate
osobní	personal
dívka	girl
ČR	Czech Republic
jakýsi	sort of
výkon	performance
mimo	outside
svatý	saint
Jiří	Jiri
rámec	framework
okamžik	moment
vedení	leadership
pohyb	motion
obyvatel	inhabitant
duch	spirit
jazyk	tongue
minulý	last
myšlenka	thought
zaměstnanec	employee
představit	present
poprvé	first
hudba	music
vzniknout	develop
sledovat	watch
rozhodnutí	decision
věnovat	pay
skoro	almost
mnohem	much
příští	next
dopis	letter
přinést	bring
nemocnice	hospital
řeka	river
zákazník	customer
pravý	right
střední	middle
množství	quantity
poznat	learn
alespoň	at least
prohlásit	declare
raději	rather
včetně	including
plán	plan
síť	network
spojený	connected
obrázek	picture
strom	tree
podoba	shape
najednou	suddenly
barva	color
široký	wide
stránka	page
krátký	short
Kč	CZK
mnohý	many
budova	building
nabízet	bid
vlas	hair
list	sheet
městský	urban
součást	component
USA	USA
celkový	overall
víno	wine
televize	TV
věk	age
použít	apply
úspěch	success
význam	importance
podpora	promotion
šéf	boss
moderní	modern
příklad	example
článek	article
představa	idea
číst	read
ztratit	lose
unie	union
přijmout	accept
letos	this year
úkol	task
slunce	sun
zapomenout	forget
většinou	mostly
blízký	close
pes	dog
chápat	understand
metr	meter
les	forest
hora	mountain
bratr	brother
de	de
prosit	plead
vzduch	air
text	text
přidat	add
přijet	arrive
jenže	only
dolar	dollar
schopnost	ability
soutěž	competition
voják	soldier
strach	fear
hráč	player
avšak	yet
mrtvý	dead
Německo	Germany
skutečný	real
dcera	daughter
zajímavý	interesting
výstava	exhibition
francouzský	French
jakýkoliv	whatever
energie	power
zahraniční	foreign
policista	policeman
dvacet	twenty
mluvčí	spokesman
docela	quite
počátek	beginning
boj	fight
připadat	seem
poslat	send
doprava	right
vnitřní	internal
papír	paper
koupit	buy
uvidět	see
občan	citizen
Pavel	Paul
Brno	Brno
rameno	shoulder
předseda	chairman
zvíře	beast
odpovídat	answer
bát se	fear
napadnout	attack
požadavek	demand
metoda	method
moře	sea
domů	home
ochrana	protection
odpověď	answer
přístup	access
zemřít	die
manžel	husband
král	king
třída	class
sen	dream
ptát se	ask
prst	finger
vysvětlit	explain
jednotka	unit
technický	technological
kultura	culture
pole	field
zůstávat	stay
Karel	Karel
právní	legal
správný	right
červený	red
krev	blood
zhruba	roughly
jmenovat	appoint
počítat	count
chlapec	boy
silnice	highway
stavební	structural
pracovník	worker
obvykle	usually
kolik	how many
líbit se	like
hvězda	star
bezpečný	safe
rozumět	understand
původní	original
obličej	face
provoz	traffic
látka	substance
volný	free
rozvoj	development
radost	pleasure
předmět	subject
sedm	seven
britský	British
vedoucí	leader
šťastný	happy
území	area
útok	attack
jednoduchý	single
chování	behavior
přestat	stop
příběh	story
jestliže	if
ekonomický	economic
událost	event
podobně	similarly
Josef	Josef
pomalu	slowly
řeč	speech
název	title
obrovský	huge
téma	theme
spát	sleep
stroj	machine
milovat	love
pochopit	understand
postava	character
průběh	course
zelený	green
dnešní	contemporary
vycházet	come out
měnit	change
vojenský	military
závěr	conclusion
postel	bed
využít	exploit
zrovna	right
prodej	sale
svoboda	freedom
běžný	common
stěna	wall
vždyť	after all
aspoň	at least
výše	above
zástupce	deputy
telefon	phone
vybrat	choose
pozornost	attention
osm	eight
zajímat	interest
přát	wish
model	model
místnost	room
objekt	building
čistý	clear
nabídka	bid
m	m
ukazovat	show
přesvědčit	convince
spousta	lot
majitel	owner
důsledek	consequence
nikoliv	not
muzeum	museum
zahrada	garden
rychlý	fast
okolí	surroundings
občas	occasionally
kůň	horse
vloni	last year
otevřený	open
postupně	gradually
zmizet	disappear
ostrov	island
živý	alive
armáda	army
sloužit	serve
příležitost	opportunity
následující	next
kvalita	quality
orgán	organ
ruský	Russian
zaplatit	pay
kus	piece
EU	EU
očekávat	expect
souvislost	relationship
pustit	let go
komise	commission
přicházet	come
vracet	return
fond	fund
správa	management
jídlo	food
výrobek	product
příprava	preparation
l	l
samý	very
hovořit	talk
ztráta	loss
předtím	before that
zpátky	back
samotný	very
fotografie	photos
povinnost	duty
příjemný	nice
provést	perform
obrátit	turn
úspěšný	successful
vůči	towards
duše	soul
letošní	this year
kancelář	office
g	g
historie	history
buď	either
Václav	Václav
stávat	becoming
čelo	forehead
hledisko	viewpoint
škoda	damage
maso	meat
slavný	famous
kontrola	check
zboží	goods
hluboký	deep
přímý	straight
uvedený	given
kousek	piece
nést	carry
struktura	structure
zlatý	gold
zeď	wall
obsahovat	contain
řidič	driver
příroda	nature
někde	somewhere
takhle	this
stanice	station
veškerý	all
sestra	sister
ústa	mouth
uvědomit	remember
pravidlo	rule
technika	technology
historický	historical
proud	current
kdysi	once
stupeň	degree
vstup	input
znít	sound
majetek	possession
závod	plant
podíl	share
návštěva	visit
podstata	nature
potvrdit	confirm
spolupráce	cooperation
předpokládat	assume
týkat se	relate to
snaha	effort
manželka	wife
způsobit	cause
maminka	mom
dokud	until
pokus	trial
doufat	hope
vzhledem	due
daný	given
zbytek	rest
datum	date
daň	tax
kostel	church
položit	lay
září	September
šance	chance
host	guest
technologie	technology
dovolit	allow
kulturní	cultural
opatření	measures
blízko	close
nástroj	tool
půda	soil
vytvářet	generate
okamžitě	immediately
vyhrát	win
příčina	cause
trenér	trainer
pouhý	mere
projít	go through
využívat	exploit
soukromý	private
žák	pupil
podat	submit
b	b
umožňovat	allow
dít	happen
zajistit	secure
všimnout	notice
si	to
rozhovor	interview
záda	back
docházet	resort
náměstí	plaza
minulost	past
vysoko	high
veřejnost	public
scéna	scene
dovést	lead
uvádět	featuring
štěstí	happiness
pokusit se	try
hotel	hotel
konečný	final
odmítnout	refuse
rozhodně	definitely
vstoupit	enter
zbraň	weapon
ačkoliv	although
bohatý	wealthy
rychlost	speed
most	bridge
společenský	social
založit	establish
aktivita	activity
opustit	leave
přestože	even though
student	student
vzpomínat	reminisce
prvek	element
pohybovat	move
riziko	risk
záležitost	affair
chovat	rear
dostávat	receive
nějak	somehow
mistr	champion
jezdit	ride
hodit	throw
divák	spectator
neděle	Sunday
obsah	contents
cizí	foreign
výraz	expression
vrstva	layer
konkrétní	specific
připomínat	remind
pomáhat	help
dopravní	transport
údaj	reading
řád	order
počítač	computer
pořádek	tidiness
Francie	France
špatně	poorly
plocha	area
hospodářský	economic
ODS	ODS
naděje	hopes
tvar	shape
příjem	income
západní	western
tlak	pressure
osud	fate
naprosto	totally
zabít	kill
kámen	stone
paragraf	section
policejní	police
kluk	boy
chyba	bug
bydlet	stay
učit	teach
