zatáčka	turn
útěcha	consolation
býk	bull
Nathan	Nathan
nudný	boring
strouhaný	grated
šek	check
hustota	density
ilustrace	illustration
mistrovský	masterful
vystudovat	graduate
zachovávat	keep
lesk	sheen
zrada	betrayal
exotický	exotic
řítit	tear
udržitelný	Sustainable
živočišný	animal
mlít	grind
soudobý	contemporary
zavádění	implementation
obsažený	contained
Saddám	Saddam
slaný	briny
bahno	mud
Baník	Miner
Oscar	Oscar
rozpálený	hot
zakoupit	purchase
odjakživa	always
počty	figures
Reuter	Reuter
upřeně	fixedly
hrst	handful
kolekce	collection
šikovný	handy
vychovávat	educate
povstání	insurrection
prchat	fleeing
Vilém	William
kryt	housing
opakování	repetition
rubrika	section
Stephanie	Stephanie
vpředu	ahead
zavinit	cause
Kristův	Christ
kuchař	cook
uhradit	reimburse
naplněný	replete
občanství	citizenship
spojka	clutch
vyhlížet	watch for
žert	prank
doprovodný	Accompanying
poručit	command
příslušnost	affiliation
reportáž	reportage
rozpadnout	break up
textový	text
rabín	rabbi
vodopád	waterfall
vymezení	demarcation
kontaktní	contact
ozdobit	decorate
pochvalovat	Pochvalov
příjemce	recipient
stíhačka	fighter
šokovat	shock
vyplynout	result
kouření	smoking
penzijní	Retirement
selhat	fail
tučný	bold
ucházet	bid
Norsko	Norway
okurka	cucumber
plavidlo	vessel
zamýšlet	think
pochválit	commended
žízeň	thirst
pěšina	footpath
smyslný	sensual
žár	blaze
oční	eye
osvědčit	witness
prožitek	experience
technicky	Technically
zdanění	taxation
muslim	Muslim
prospět	benefit
sádlo	lard
sousedství	neighborhood
ženatý	married
angažmá	contract
dotáhnout	tighten
torpédoborec	destroyer
vyjednávání	negotiation
čarodějnice	witch
Číňan	Chinese
srbský	Serbian
dožít	live
pojistné	premium
prázdnota	void
zblízka	close up
prověřit	check
rasa	race
ustupovat	ebb
vymezit	define
formálně	formally
partnerství	partnership
prosba	plea
přirozenost	nature
pud	instinct
strojírenský	Engineering
vážnost	seriousness
ikona	icon
music	Music
vznést	raise
charta	charter
katedra	department
odhalovat	revealing
osvětlený	lit.
předměstí	suburb
varhany	organ
levicový	leftist
naplánovat	schedule
katolík	Catholic
penze	pension
podmíněný	conditioned
těžit	profit
Bohumil	Bohumil
tlouci	beat
totožnost	identity
zakazovat	prohibit
zevnitř	from the inside
odsouzený	convicted
pavouk	spider
dohlížet	supervise
hlupák	fool
keramický	ceramic
redukce	reduction
bezmocný	helpless
čekaně	waiting
motocykl	motorcycle
odeslat	send
Soňa	Sona
psychiatr	psychiatrist
mrknout	nictate
obcházet	circumvent
směřující	pointing
zjištěný	detected
čistit	clean
napříč	across
porovnat	compare
soutěžní	Competition
výtisk	copy
kulka	bullet
spoření	saving
stárnutí	aging
zanedbatelný	negligible
des	des
podivně	peculiarly
pohybový	motional
předvídat	anticipate
přidaný	added
vniknout	penetrate
záblesk	gleam
zařazení	inclusion
epidemie	epidemic
přednášet	lecture
supermarket	supermarket
vědomě	consciously
záhon	flowerbed
zřítit	crash
j	j
mikrofon	microphone
mladistvý	youthful
vylíčit	describe
zajíc	hare
blbý	stupid
pevnina	mainland
devatenáctý	nineteenth
háček	hook
hlediště	auditorium
háj	grove
intimní	intimate
ručník	towel
trhat	pluck
účetnictví	bookkeeping
elektron	electron
kupní	purchasing
motivovat	motivate
odmítnutí	rejection
pláň	wold
pokušení	temptation
police	shelf
záliba	predilection
hradecký	Hradec
korespondence	correspondence
poradenský	advisory
solidní	solid
vyvolaný	developed
Bagdád	Baghdad
bratranec	cousin
stráň	hillside
strukturální	structural
vaření	cooking
vymezený	circumscribed
balení	Package
dotek	touch
pozemský	earthly
prorok	prophet
komplikovat	complicate
potřást	shake
Ellen	Ellen
gumový	rubber
sbohem	goodbye
sestoupit	descend
upřít	fix
kolář	wheeler
povařit	simmer
známost	acquaintance
křížový	cross
límec	collar
vdát	married
etnický	ethnic
fialový	violet
okupace	occupation
opravovat	repair
plachta	sail
Prostějov	Prostejov
Sokol	Falcon
Varšava	Warsaw
dirigent	conductor
lóže	lodge
odporovat	resist
výstaviště	exhibition grounds
opepřit	pepper
přijímací	Drawing
sluníčko	sun
tisícovka	thousand
buněčný	cellular
dom	house
ňadra	bosom
nastavení	adjustment
p	p
pečivo	pastry
namítat	object
oznamovat	report
ujet	cover
obchodovat	deal
panelový	panel
unavit	weary
veličina	quantity
perla	pearl
aut	Rental
filosofický	Philosophical
hladový	hungry
natož	let alone
Zdena	Zdena
efektivnost	efficiency
jazz	jazz
magazín	magazine
stanout	stand
Juan	Yuan
pavilon	Pavilion
propadat	fall
spatřovat	seen
obývací	living
přílišný	excessive
rosa	dew
šlechta	nobility
zač	You're welcome
závisle	dependently
nečekaný	unexpected
přesvědčivý	convincing
zahledět	stare
stará	old
národnost	nationality
plno	lot
pomsta	revenge
poukázat	refer
ziskový	Profitable
aktivista	activist
domorodec	native
husa	goose
nasekaný	chopped
pololetí	semester
drtivý	crushing
loupež	robbery
studentka	student
změřit	measure
chirurgický	surgical
pokročilý	advanced
restrukturalizace	restructuring
dočíst	finish
kanalizace	canalization
nacista	Nazi
sešit	notebook
hornina	rock
membrána	membrane
zásobník	magazine
kapalina	fluid
němčina	German
pronajmout	rent
strmý	steep
zkazit	spoil
míchat	stir
pocta	tribute
svetr	jumper
školák	schoolboy
bona	nursemaid
ministryně	Secretary
Nedvěd	Nedvěd
obr	giant
registrovat	register
sloupec	column
paradox	paradox
čtyřikrát	four
hladce	smoothly
plechový	tinny
dvouletý	biennial
regál	bookshelf
soužití	cohabitation
zaklepat	knock
optimismus	optimism
play	Play
Bach	Bach
bouda	booth
uskutečňovat	carry
dopadat	turn out
hn	hn
lovecký	hunting
centrála	headquarters
fiskální	fiscal
obrácený	reverse
odkládat	procrastinate
odstěhovat	move
přehnaný	exaggerated
trhnout	jerk
usnadnit	facilitate
včela	bee
Anderson	Anderson
BBC	BBC
křižník	cruiser
dýchání	breathing
leták	flyer
motýl	butterfly
přikládat	attachments
vyrovnávat	leveling
Brazílie	Brazil
definovaný	defined
dvorek	yard
Oliver	Oliver
podivit	wonder
rum	rum
semifinále	semifinal
Ivana	Ivana
profesní	Professional
přesvědčený	convinced
vyspat	sleep
azyl	asylum
pospíchat	rush
renezance	Renaissance
utrhnout	pluck
vypálit	burn
čelní	frontal
důvěrně	familiarly
globalizace	globalization
oceňovat	appreciate
sklouznout	slither
fungující	functional
kurva	whore
občasný	occasional
časově	time
deka	blanket
koňský	equine
kupec	buyer
místostarosta	Deputy Mayor
oddaný	dedicated
oslabit	weaken
otřít	wipe
pohlížet	seen
prostranství	space
revolver	revolver
zamávat	wave
bolestný	painful
poloostrov	peninsula
ES	ES
odsud	from here
předvolební	election
ubírat	subtract
zamyšleně	pensively
indiánský	Indian
mastný	greasy
růž	rouge
upevnit	consolidate
vrozený	congenital
gravitační	Gravitational
kasárna	Barracks
obléknout	clothe
písemně	writing
Wells	Wells
chřipka	flu
nájemce	tenant
narůstat	build
pohodlí	comfort
zoologický	zoological
doporučený	registered
poplatník	taxpayer
regulační	Regulatory
směnka	bill
totální	total
armádní	army
bušit	throb
MMF	IMF
koupat	bathe
oživit	revive
vězeňský	prison
zajetí	captivity
zdivo	brickwork
huť	huť
petrželka	parsley
plicní	pulmonary
povodňový	flood
atrakce	attraction
dárce	donor
element	element
nedaleko	near
terminál	terminal
žebřík	ladder
kolegyně	colleague
tečka	dot
odradit	discourage
václavský	Wenceslaus
vyděšený	frightened
nátlak	compulsion
ohnivý	fiery
oranžový	orange
zakrývat	hide
zamíchat	stir
zásobování	supply
utopit	drown
hlásat	proclaim
Stanley	Stanley
krčit	cringe
oddělovat	separate
úpadek	bankruptcy
vzdalovat	recede
honorář	fee
odtrhnout	tear off
Dana	Dana
důsledný	consistent
Microsoft	Microsoft
odpadky	trash
synek	synek
zdědit	inherit
kafe	coffee
nadělat	wreak
vjet	enter
získávání	acquisition
naříkat	wail
šéfredaktor	editor in chief
zaměstnaný	employed
hollywoodský	Hollywood
SSSR	USSR
čočka	lens
plastický	plastic
uchýlit	resort
výlučně	exclusively
dosažený	achieved
hrozen	Grape
nemocniční	hospital
Pohár	Cup
hostit	entertain
masivní	massive
prokazovat	show
vyhrknout	blurt
krmit	feed
petice	petition
preventivní	preventive
spojenecký	Allied
neutrální	neutral
odbýt	put off
poprosit	ask
sázka	bet
bramborový	potato
Cadfael	Cadfael
dlažba	paving
jízdenka	ticket
Palestinec	Palestinian
pasažér	passenger
sáček	bag
záminka	excuse
konvenční	conventional
odkázat	refer
telegram	telegram
trápení	vexation
živnostenský	Licensing
experimentální	experimental
kéž	I wish
raněný	Hurt
sedící	sitting
zakončit	conclude
argentina	argentina
čirý	limpid
fotografovat	photograph
mystický	mystical
slupka	peel
smyslový	sensory
tržiště	market
třídní	class
argumentovat	argue
předepsaný	prescribed
stavitel	builder
Hašek	Hasek
invaze	invasion
jihovýchodní	southeast
potkávat	meet
prodělat	go through
vlídný	benign
lineární	linear
loďstvo	fleet
rozčilovat	exasperate
zlomený	broken
činný	active
pohádkový	fairytale
uspořádaný	orderly
ISO	ISO
pasivní	passive
Vojtěch	Vojtech
divoce	wildly
chirurg	surgeon
obráběcí	machining
protějšek	counterpart
nakládat	deal
nesmírný	immeasurable
příručka	handbook
démon	demon
trpaslík	dwarf
viník	culprit
dceřiný	subsidiary
prales	virgin forest
zpravodaj	reporter
malta	mortar
Mercedes	Mercedes
slavnostně	solemnly
sluch	hearing
džungle	jungle
jelen	deer
Písek	Sand
přípustný	permissible
znečištění	pollution
kroužit	circle
objímat	hugging
Otto	Otto
povědomí	awareness
eso	ace
obydlí	dwelling
poloviční	half
status	status
uchovávat	store
zmírnit	relieve
Děčín	Decin
klasifikace	classification
vyhrávat	winning
zavazovat	bind
Agnes	Agnes
hrnout	pour
přezdívka	nickname
ctnost	virtue
leccos	many things
vyhlášený	renowned
členka	Member
nakolik	how much
pokorný	lowly
popíjet	sup
výčet	enumeration
chvála	praise
košík	basket
odsunout	evacuate
osudný	fatal
pozvolna	slowly
turistika	tourism
bohyně	goddess
vyčistit	clean
hrudník	chest
nadšeně	enthusiastically
něžně	tenderly
hodnotový	value
nasvědčovat	suggest
opatrnost	caution
projednat	discuss
přilehlý	adjacent
spouštět	run
Znojmo	Znojmo
zvláštnost	specialty
hostinec	inn
chápání	understanding
kočár	carriage
muslimský	Muslim
uklidit	clean up
chybný	wrong
nápor	onslaught
vlastnický	possessive
kupující	buyer
zvyklost	convention
lože	bed
předloha	pattern
přijímání	communion
jezírko	lagoon
miss	miss
prázdno	void
svádět	tempt
důrazně	emphatically
obhajovat	advocate
parfém	perfume
pečlivý	careful
řemeslník	craftsman
zmoci	emerge again
dovolený	allowable
nakreslit	draw
šlapat	tread
tlakový	Pressure
doutník	cigar
loučit	say goodbye
síťový	Network
trvající	ongoing
devatenáct	nineteen
donedávna	Until recently,
koncertní	concert
zaplacení	repayment
plachý	shy
venkovní	outdoor
cholesterol	Cholesterol
kravata	tie
procedura	procedure
veterán	veteran
celník	customs officer
jugoslávský	Yugoslav
sled	sequence
Smith	Smith
zjevení	revelation
nikterak	no way
stodola	barn
stroužek	clove
čtyřiadvacet	twenty-four
Edita	Edita
koordinace	coordination
