světelný	light
alternativní	alternative
skončení	completion
ČEZ	CEZ
normálně	normally
protestovat	protest
vonět	smell
významně	significantly
posvátný	sacred
mlýn	mill
otáčet	rotate
tvor	creature
barokní	baroque
citronový	Lemon
námitka	objection
řetěz	chain
upravovat	edited
ekonom	economist
koncern	concern
Max	Max
sestavit	assemble
záloha	backup
mládě	cub
obliba	popularity
osada	settlement
podzimní	autumnal
posoudit	judge
měsíčně	per month
prohlašovat	claim
chod	run
usednout	sit down
dozadu	backwards
Filip	Philip
unést	abduct
trpělivě	patiently
zahrnout	include
anglicky	English
havárie	crash
sedmdesátý	seventieth
čtvrtletí	quarter
filozof	philosopher
kdepak	bloody likely
uvařit	cook
Žid	Jew
rádio	radio
tajit	concealing
poznávat	recognize
sundat	take down
reprezentant	representative
rozjet	ramp
dostavit	arrive
experiment	experiment
padesátý	fiftieth
železnice	railway
integrovaný	integrated
tank	tank
závazný	obligatory
citovat	quote
skandál	scandal
zmínka	mention
přelom	turn
vyhovět	comply
zčásti	partly
proboha	for heaven's sake
rytíř	knight
vstávat	rise
lokální	local
dvojí	dual
náplň	filling
příčka	partition
Vltava	Vltava
pot	sweat
odvrátit	divert
probrat	talk over
vyšetřovat	investigate
postižení	infliction
příjemně	pleasantly
hradba	wall
kód	code
rumunský	Romanian
van	van
dej	give
přinutit	force
Thomas	Thomas
ověřit	check
trefit	hit
vzkaz	message
parkoviště	parking lot
výživa	nutrition
omluvit	excuse
plochý	flat
Sofie	Sofia
pokrýt	cover
východisko	starting point
osmdesátý	eightieth
vývar	broth
molekula	molecule
opoziční	opposite
schránka	mailbox
cca	ca.
dík	thanks
riskovat	risk
pasus	pasus
jmenovaný	nominative
rakovina	cancer
benzín	gasoline
ponorka	submarine
Egypt	Egypt
chůze	walk
intenzita	intensity
mlčení	silence
trénovat	train
částice	particles
námaha	exertion
věčně	forever
zadívat	gaze
zklamání	disappointment
strava	diet
herecký	theatrical
zabíjet	killing
řízený	directed
slovník	dictionary
hnízdo	nest
ateliér	studio
referendum	referendum
šperk	jewel
ohledně	regarding
zpravodajství	coverage
srážka	crash
únik	leak
zvolený	elected
chlapík	guy
podniknout	undertake
mravní	moral
USD	USD
Albert	Albert
pouť	pilgrimage
strýček	uncle
vážený	honorable
vyběhnout	run out
lavička	bench
náznak	hint
legislativa	legislation
polibek	kiss
Krist	Krist
demonstrace	demonstration
zastávka	stop
děda	Grandpa
odstup	spacing
sad	park
řvát	scream
Rom	Gypsy
rozhlasový	wireless
ucítit	feel
hrnec	pot
genus	genus
klec	cage
obočí	eyebrows
lupič	robber
stojící	standing
kongres	congress
protáhnout	stretch
formát	format
obojí	both
průvod	parade
tabule	blackboard
sedmdesát	seventy
stíhat	pursue
zajet	run
leč	however
kotel	boiler
mříž	grille
namísto	instead
plést	weave
webový	Web
elegantní	elegant
pestrý	colorful
sevřít	clench
Kladno	Kladno
zoufale	desperately
dílčí	sectional
hněv	anger
odjezd	departure
řez	cut
sir	sir
Ford	Ford
Oldřich	Oldrich
morálka	morality
Řecko	Greece
pódium	podium
semeno	seed
vzdělaný	educated
tý	you
vyrůstat	grow
poděkovat	thank
sklonit	bow
uzavření	closure
vývojový	developmental
zásilka	consignment
melodie	melody
bytí	being
ovzduší	air
skromný	modest
volant	steering wheel
předcházet	prevent
ruch	rush
zátěž	ballast
inspirovat	inspire
půlka	half
shodnout	agree
ústecký	Usti
zakrýt	cover up
přesnost	accuracy
navždy	forever
růže	roses
byznys	business
objednávka	order
opora	support
vada	defect
čepice	hat
impuls	impulse
oltář	altar
horko	hot
dosah	reach
báječný	yummy
Horní	Upper
organizovaný	organized
orientovat	orientate
africký	African
odebrat	take
působící	acting
zábavný	fun
hnout	move
vzrušení	thrill
železo	iron
číšník	waiter
křik	outcry
ublížit	hurt
vana	bathtub
důchodce	pensioner
kanadský	Canadian
chlebíček Melvin
kolečko	wheelbarrow
ocenění	appreciation
odvážit	weigh out
namítnout	protest
SNB	SNB
hubený	thin
vlhkost	humidity
převaha	preponderance
vydělávat	earn
přitáhnout	tighten
dělo	cannon
předčasný	premature
otvírat	opening
početný	numerous
putovat	wander
spolkový	federal
zachování	conservation
plánování	planning
osvětlení	lighting
sekunda	second
létat	fly
posloužit	serve
služební	Business
trpělivost	patience
grafický	graphic
federace	federation
vstříc	meet
nadace	foundation
celkově	overall
sluchátko	earphone
dobrovolný	voluntary
Emil	Emil
vykonat	perform
specialista	expert
chodec	walker
ošklivý	ugly
stadium	stage
dynamický	dynamic
úrok	interest
záchvat	seizure
dnešek	today
konzervativní	conservative
vydaný	issued
nebeský	heavenly
přivítat	welcome
splňovat	fulfill
vrata	gate
chytat	catch
obsluha	operation
věřitel	creditor
vyhnat	expel
garáž	garage
smetana	cream
žíla	vein
faktum	FAKTUM
plakát	poster
srovnatelný	comparable
mnich	monk
farář	parson
polštář	cushion
strašlivý	dreadful
horečka	fever
krást	thieve
zoufalství	despair
ČSN	CSN
řadit	shift
slovní	verbal
sídlit	reside
nabývat	acquire
vznášet	float
zkoumání	exploration
ČSSR	CSSR
prestižní	prestigious
prkno	board
přiměřený	adequate
skalní	rock
krám	shop
pronásledovat	chase
hruď	chest
lebka	skull
aliance	alliance
vyznat	profess
zázemí	rear
kamarádka	friend
volno	off
smířit	reconcile
předchůdce	predecessor
přitisknout	impress
zadek	buttocks
tužka	pencil
koncept	draft
kroužek	ring
etický	ethical
Vary	Vary
nesmírně	immensely
ocas	tail
soukromí	privacy
vézt	carry
shrnout	recap
urazit	offend
sklenička	glass
marka	mark
Rumunsko	Romania
spokojit	settle
Teplice	Teplice
třicátý	thirtieth
identita	identity
příjezd	arrival
skvěle	great
lovec	hunter
nitro	heart
oblečený	dressed
pozdrav	greeting
soudruh	comrade
předběžný	preliminary
vyjmout	remove
horizont	horizon
motorový	power
shánět	hunt for
smírně	amicably
pomocný	assistant
týdně	weekly
kladný	positive
rozvojový	developing
vyhledat	search
řádný	proper
přesahovat	exceed
provdat	marry
univerzální	universal
dres	jersey
kompetence	competence
publikovat	publish
palestinský	Palestinian
estetický	esthetic
distribuce	distribution
směšný	ridiculous
zastupovat	represent
náležet	belong
sjezd	downhill
akutní	acute
panel	panel
Opava	Opava
etika	ethics
interní	internal
shodovat	agree
slušet	suit
revoluční	revolutionary
svírat	clutch
uzel	node
fotka	photo
kuře	chicken
Mnichov	Munich
dědictví	heritage
dodržování	compliance
mše	service
to	it
Věra	Vera
systémový	systemic
božský	divine
lidovec	Christian Democrat
milenka	mistress
milovaný	beloved
komunální	communal
psaný	written
MS	MS
vzdálit	leave
zazvonit	ring the bell
kouzelný	Magical
propast	abyss
naložit	load
shromáždit	gather
překvapivě	surprisingly
Frank	Franc
hovězí	beef
transformace	Transformation
zmiňovat	alluding
počáteční	initial
srdeční	heart
komunikovat	communicate
zánik	extinction
zřetelný	clear
odpočinek	relaxation
zaskočit	focus
lídr	leader
hrana	edge
plout	sail
porozumění	understanding
rizikový	hazardous
detektiv	detective
pedagogický	pedagogic
Příbram	Pribram
vyučování	tuition
aplikovat	apply
Turecko	Turkey
absolvent	graduate
farma	farm
šílenství	madness
doktorka	Doctor
gólman	goalie
nebesa	Heavens
pohon	drive
zvyšování	increasing
podnikat	business
marný	futile
dotyčný	in question
ochotně	willingly
design	design
stehno	thigh
odmlčet	pause
KSČM	KSČM
popel	ash
rádium	radium
vídeňský	Viennese
Čapek	Čapek
připojení	connectivity
listí	Leaves
celní	customs
HDP	GDP
počít	conceive
Slovák	Slovak
přibývat	grow
nikam	nowhere
podrobit	undergo
symbolický	symbolic
plus	plus
raketa	rocket
zavraždit	murder
pokrm	dish
Viktor	Viktor
přistát	land
identifikovat	identify
past	trap
posun	shift
automobilka	car factory
chvět	quiver
poskytování	provision
psycholog	psychologist
skupinka	cluster
menšina	minority
opakovaně	repeatedly
přibližovat	draw near
rozkoš	delight
turecký	Turkish
zkušební	probationary
aparát	apparatus
komplikovaný	complicated
splnění	fulfillment
bojovník	fighter
uspokojení	satisfaction
foto	Photo
náruč	armful
zákrok	intervention
komunismus	Communism
trojice	threesome
orientovaný	oriented
administrativní	administrative
klavír	piano
muzika	music
neúspěch	failure
rakev	coffin
racionální	rational
anketa	survey
fungování	functioning
rozpočtový	budgetary
slabost	weakness
zvědavý	curious
interval	interval
otřást	shake
databáze	database
plynový	gas
projíždět	drive through
cílový	target
životnost	service life
upřesnit	specify
vysočina	highlands
fenomén	phenomenon
legendární	legendary
newyorský	New York
potrestat	punish
zavěsit	hang
hřeben	crest
provedený	executed
deficit	deficit
personální	Human Resources
provincie	province
zodpovědnost	responsibility
vyhlídka	outlook
N	N
úkon	act
autorský	author's
každoročně	annually
něžný	affectionate
opakovaný	repeated
sako	jacket
firemní	business
spokojeně	happily
pneumatika	tire
prodloužit	extend
krabička	box
potvrzení	confirmation
zdržet	abstain
Belgie	Belgium
modernizace	modernization
pozdravit	greet
soustředění	concentration
těžba	extraction
stres	stress
dokola	round
lesklý	bright
mise	mission
rozsvítit	switch on
Aleš	Ales
čerpat	draw
kostým	costume
zemědělec	farmer
dobový	period
smůla	bad luck
vytrhnout	rip
korupce	corruption
šťastně	happily
Temelín	Temelin
spolužák	classmate
tahat	pull
nositel	bearer
sedmnáct	seventeen
liberální	liberal
rozejít	break
svatební	wedding
vyhlášení	promulgation
doplněk	supplement
přijíždět	arrive
pětadvacet	Twenty-five
zábradlí	railing
umístěný	situated
kuchyňský	cooking
Boleslav	Boleslav
čistota	cleanliness
terasa	terrace
akademický	academic
organický	organic
vrhat	throw
zralý	mature
mnohokrát	many times
Tommy	Tommy
var	boiling
balkón	balcony
náprava	rectification
logistika	logistics
moudrost	wisdom
mrkev	carrot
sedlo	saddle
unikátní	unique
osvobodit	liberate
císařský	imperial
členství	membership
páska	tape
autorka	authoress
honit	chase
lano	rope
Masarykův	Masarykův
reprezentovat	represent
vdova	widow
zvažovat	weigh
zvon	bell
Ray	Ray
vyčítat	reproach
formulovat	formulate
Ital	Italian
mládenec	youngster
chlad	coldness
jakož	and
nájemné	rent
stvoření	creation
Jugoslávie	Yugoslavia
pivovar	brewery
zánět	inflammation
vlajka	flag
evidence	records
hýbat	stir
věcný	factual
křesťanství	Christianity
romský	Gypsy
záchod	toilet
nervózní	nervous
víčko	cover
Jablonec	Jablonec
zlínský	Zlin
obdiv	admiration
produktivita	productivity
Zuzana	Zuzana
bílkovina	protein
odvážný	courageous
absolutně	absolutely
okénko	window
půvabný	lovely
hotovost	cash
atom	atom
krém	cream
ohlédnout	look back
budování	building
přepadnout	swoop
šeptat	whisper
šňůra	cord
ujít	miss
pokožka	skin
deprese	depression
otrok	slave
zřízení	establishment
vrch	hill
aféra	affair
legální	legal
nevěsta	bride
vystřelit	fire
Los	Moose
rozbor	analysis
příště	next
stádo	herd
stříbro	silver
šíření	spreading
Beneš	Benes
intelektuální	intellectual
show	show
hlavička	header
bakterie	bacteria
citový	emotional
dokončení	completion
zavírat	close
odpočívat	rest
inovace	innovation
kilogram	kilogram
ruční	hand
zaujímat	cover
vzpamatovat	recover
reflex	reflex
zločinec	felon
Julie	Julia
hele	hey
mandát	mandate
vyložit	unload
léčení	treatment
náboj	charge
vzestup	rise
sledovaný	watched
samec	male
zavázat	tie
porozumět	understand
zaměstnávat	employ
Sam	Sam
zapojení	involvement
zpracovávat	handle
barák	barrack
f	F
přípravek	preparation
St	St
inspirace	inspiration
KDU-ČSL	KDU-ČSL
poctivý	honest
pojmenovat	name
rituál	ritual
fasáda	facade
chytnout	catch
rozložit	spread
definitivní	final
otevřeně	openly
spadat	fall
fantastický	fantastic
zdržovat	restrain
dočasný	temporary
promíchat	mix up
zastoupení	representation
aha	I see
Alena	Alena
Dolní	Lower
smíchat	mix
odvětit	rejoin
hit	hit
pasáž	passage
finančně	financially
záhada	mystery
zprvu	initially
Mexiko	Mexico
výcvik	training
vkus	taste
krýt	cover
disponovat	dispose
katedrála	cathedral
maličký	little
ničit	destroying
obětovat	sacrifice
jasno	clear
předpokládaný	supposed
zahrádka	garden
varování	warning
magnetický	magnetic
těhotenství	pregnancy
zelí	cabbage
jinam	elsewhere
porota	jury
zodpovědný	accountable
Street	Street
telekomunikační	Telecommunications
vzorec	formula
genetický	genetic
vyplnit	fill
výtvarník	artist
posypat	sprinkle
poválečný	postwar
sociálně	socially
opak	opposite
pěšky	on foot
stáj	stable
telefonovat	telephone
málokdo	hardly anybody
přechodný	transitory
zdobit	Dress Up
stvořit	create
Angličan	Englishman
socialismus	socialism
komponenta	component
hm	hm
nástupce	successor
posilovat	strengthen
provádění	implementation
předávat	forward
pohotovost	alert
diagnóza	diagnosis
palma	palm
strážce	watchman
nadšený	enthusiastic
střevo	intestine
zavazadlo	luggage
ČNB	CNB
lámat	break
učebnice	textbook
vybavený	equipped
bariéra	barrier
kroutit	writhe
poukazovat	pointing
prima	groovy
zahradní	garden
natáčení	shooting
vesměs	mostly
muzikál	musical
odstín	hue
volání	call
přistupovat	access
uherský	Hungarian
honem	come on
ložisko	bearing
pila	sawmill
jakost	quality
transport	transport
produkovat	produce
užití	use
jmění	fortune
prsa	breast
