být	be
číslo	number
jenom	only
dále	further
uvést	state
znovu	again
možná	maybe
služba	service
jestli	whether
situace	situation
stejný	the same
hodiny	hours
měsíc	Moon
získat	gain
čtyři	four
jméno	name
dveře	doors
daleko	far
otec	father
znát	know
změna	change
evropský	European
většina	most
nakonec	eventually
nyní	now
noc	night
snažit se	try
síla	power
zde	here
dojít	come
potom	then
znamenat	mean
vypadat	look
pět	five
informace	information
americký	American
trochu	a little
týden	week
důležitý	important
příliš	too
vztah	relationship
trh	market
tělo	body
válka	war
hned	immediately
slyšet	hear
téměř	almost
dlouho	long
rodina	family
zatím	yet
rozhodnout	choose
výsledek	outcome
ano	yes
pracovat	work
státní	state
pohled	view
zájem	interest
zeptat se	ask
ulice	street
potřebovat	need
tvář	face
zdát se	seem
kniha	book
důvod	reason
hlas	voice
film	movie
pravda	truth
někdy	sometimes
objevit	discover
dost	enough
základní	basic
zcela	completely
přitom	yet
paní	Ms
smrt	death
matka	mother
sice	Although
rychle	quickly
cítit	feel
minuta	minute
pár	couple
procento	percentage
program	program
určitý	some
večer	evening
během	during
existovat	exist
kvůli	about
hodnota	value
bílý	white
noha	foot
jistý	some
jednou	once
podívat se	look
včera	yesterday
plný	full
člen	member
vlastně	actually
lidský	human
sedět	sit
podmínka	condition
vždy	always
navíc	moreover
osoba	person
hra	game
počet	count
tehdy	then
republika	republic
přímo	right
stav	status
banka	bank
politický	political
hodina	lesson
obraz	image
zejména	especially
ať	whatever
činnost	activity
podnik	enterprise
jinak	otherwise
druh	kind
soud	court
opět	again
národní	national
úřad	office
podobný	similar
deset	ten
kromě	except
nejen	not only
auto	car
ukázat	show
černý	black
zda	whether
platit	pay
špatný	bad
otevřít	open
vždycky	always
dávat	give
cíl	target
psát	write
chodit	walk
jednotlivý	single
sociální	social
považovat	consider
současný	contemporary
Evropa	Europe
neboť	because
Jan	John
zpráva	report
typ	type
policie	police
stačit	suffice
opravdu	really
skutečnost	reality
věřit	believe
pocit	feeling
dílo	work
silný	thick
sto	hundred
spolu	together
německý	German
vedle	next to
tvrdit	claim
základ	foundation
pořád	always
bůh	god
prostředí	environment
samozřejmě	of course
jet	go
zřejmě	apparently
zjistit	find out
světlo	light
smysl	sense
směr	direction
růst	growth
ředitel	director
ráno	morning
zatímco	while
myslet	think
láska	love
divadlo	theater
proces	trial
podařit se	do well
forma	form
stůl	table
prý	allegedly
pokračovat	continue
sem	here
názor	opinion
těžký	heavy
okno	window
pomoci	help
světový	worldwide
napsat	write
smlouva	agreement
veřejný	public
skončit	end
začínat	begin
rada	advice
ležet	lie
přítel	boyfriend
kraj	county
úplně	completely
třetí	third
odpovědět	answer
změnit	change
dodat	supply
krásný	beautiful
byt	apartment
nutný	necessary
jednat	deal
pracovní	working
hledat	search
vývoj	development
prezident	president
role	role
představovat	represent
pokoj	room
období	season
nízký	low
přesto	yet
vyjít	come out
bývalý	former
polovina	half
projekt	project
dívat se	watch
připravit	prepare
takzvaný	so-called
potřeba	need
používat	use
držet	hold
ministr	minister
vůz	car
zároveň	together
dosud	yet
doktor	doctor
funkce	function
naopak	conversely
volba	option
zvláštní	strange
jasný	clear
syn	son
teprve	only
obec	village
akce	action
zdroj	source
pražský	Prague
úroveň	level
rozdíl	difference
významný	significant
trvat	last
hlavně	mainly
prostor	space
šest	six
řízení	management
stavba	building
životní	life
klub	club
miliarda	billion
pomoc	help
prostě	just
organizace	organization
vydat	issue
bývat	dwell
tým	team
díky	thanks
skutečně	really
no	well
centrum	center
začátek	beginning
přesně	exactly
srdce	heart
krok	move
dosáhnout	reach
prostředek	means
postavit	stand
obchodní	business
působit	act
materiál	material
odejít	leave
společný	common
tolik	so much
autor	author
domácí	home
náklad	load
návrh	proposal
kam	where
finanční	financial
řešení	solution
brát	take
vliv	effect
Petr	Peter
míra	degree
zařízení	equipment
jistě	surely
konečně	finally
onen	that
výroba	production
mezinárodní	international
zastavit	stop
lékař	doctor
vhodný	suitable
jednání	negotiation
smět	may
politika	politics
půl	half
schopný	able
obchod	business
kolo	bike
rovněž	also
zápas	match
umění	art
hranice	border
loď	ship
umět	know
vytvořit	create
doma	home
určitě	definitely
ministerstvo	ministry
poté	after
postup	approach
velice	very
místní	local
zkušenost	experience
rodič	parent
bod	point
pán	lord
tvořit	generate
osobní	personal
dívka	girl
ČR	Czech Republic
jakýsi	sort of
výkon	performance
mimo	outside
svatý	saint
Jiří	Jiri
rámec	framework
okamžik	moment
vedení	leadership
pohyb	motion
obyvatel	inhabitant
duch	spirit
jazyk	tongue
minulý	last
myšlenka	thought
zaměstnanec	employee
představit	present
poprvé	first
hudba	music
vzniknout	develop
sledovat	watch
rozhodnutí	decision
věnovat	pay
skoro	almost
mnohem	much
příští	next
dopis	letter
přinést	bring
nemocnice	hospital
řeka	river
zákazník	customer
pravý	right
střední	middle
množství	quantity
poznat	learn
alespoň	at least
prohlásit	declare
raději	rather
včetně	including
plán	plan
síť	network
spojený	connected
obrázek	picture
strom	tree
podoba	shape
najednou	suddenly
barva	color
široký	wide
stránka	page
krátký	short
Kč	CZK
mnohý	many
budova	building
nabízet	bid
vlas	hair
list	sheet
městský	urban
součást	component
USA	USA
celkový	overall
víno	wine
televize	TV
věk	age
použít	apply
úspěch	success
význam	importance
podpora	promotion
šéf	boss
moderní	modern
příklad	example
článek	article
představa	idea
číst	read
ztratit	lose
unie	union
přijmout	accept
letos	this year
úkol	task
slunce	sun
zapomenout	forget
většinou	mostly
blízký	close
pes	dog
chápat	understand
metr	meter
les	forest
hora	mountain
bratr	brother
de	de
prosit	plead
vzduch	air
text	text
přidat	add
přijet	arrive
jenže	only
dolar	dollar
schopnost	ability
soutěž	competition
voják	soldier
strach	fear
hráč	player
avšak	yet
mrtvý	dead
Německo	Germany
skutečný	real
dcera	daughter
zajímavý	interesting
výstava	exhibition
francouzský	French
jakýkoliv	whatever
energie	power
zahraniční	foreign
policista	policeman
dvacet	twenty
mluvčí	spokesman
docela	quite
počátek	beginning
boj	fight
připadat	seem
poslat	send
doprava	right
vnitřní	internal
papír	paper
koupit	buy
uvidět	see
občan	citizen
Pavel	Paul
Brno	Brno
rameno	shoulder
předseda	chairman
zvíře	beast
odpovídat	answer
bát se	fear
napadnout	attack
požadavek	demand
metoda	method
moře	sea
domů	home
ochrana	protection
odpověď	answer
přístup	access
zemřít	die
manžel	husband
král	king
třída	class
sen	dream
ptát se	ask
prst	finger
vysvětlit	explain
jednotka	unit
technický	technological
kultura	culture
pole	field
zůstávat	stay
Karel	Karel
právní	legal
správný	right
červený	red
krev	blood
zhruba	roughly
jmenovat	appoint
počítat	count
chlapec	boy
silnice	highway
stavební	structural
pracovník	worker
obvykle	usually
kolik	how many
líbit se	like
hvězda	star
bezpečný	safe
rozumět	understand
původní	original
obličej	face
provoz	traffic
látka	substance
volný	free
rozvoj	development
radost	pleasure
předmět	subject
sedm	seven
britský	British
vedoucí	leader
šťastný	happy
území	area
útok	attack
jednoduchý	single
chování	behavior
přestat	stop
příběh	story
jestliže	if
ekonomický	economic
událost	event
podobně	similarly
Josef	Josef
pomalu	slowly
řeč	speech
název	title
obrovský	huge
téma	theme
spát	sleep
stroj	machine
milovat	love
pochopit	understand
postava	character
průběh	course
zelený	green
dnešní	contemporary
vycházet	come out
měnit	change
vojenský	military
závěr	conclusion
postel	bed
využít	exploit
zrovna	right
prodej	sale
svoboda	freedom
běžný	common
stěna	wall
vždyť	after all
aspoň	at least
výše	above
zástupce	deputy
telefon	phone
vybrat	choose
pozornost	attention
osm	eight
zajímat	interest
přát	wish
model	model
místnost	room
objekt	building
čistý	clear
nabídka	bid
m	m
ukazovat	show
přesvědčit	convince
spousta	lot
majitel	owner
důsledek	consequence
nikoliv	not
muzeum	museum
zahrada	garden
rychlý	fast
okolí	surroundings
občas	occasionally
kůň	horse
vloni	last year
otevřený	open
postupně	gradually
zmizet	disappear
ostrov	island
živý	alive
armáda	army
sloužit	serve
příležitost	opportunity
následující	next
kvalita	quality
orgán	organ
ruský	Russian
zaplatit	pay
kus	piece
EU	EU
očekávat	expect
souvislost	relationship
pustit	let go
komise	commission
přicházet	come
vracet	return
fond	fund
správa	management
jídlo	food
výrobek	product
příprava	preparation
l	l
samý	very
hovořit	talk
ztráta	loss
předtím	before that
zpátky	back
samotný	very
fotografie	photos
povinnost	duty
příjemný	nice
provést	perform
obrátit	turn
úspěšný	successful
vůči	towards
duše	soul
letošní	this year
kancelář	office
g	g
historie	history
buď	either
Václav	Václav
stávat	becoming
čelo	forehead
hledisko	viewpoint
škoda	damage
maso	meat
slavný	famous
kontrola	check
zboží	goods
hluboký	deep
přímý	straight
uvedený	given
kousek	piece
nést	carry
struktura	structure
zlatý	gold
zeď	wall
obsahovat	contain
řidič	driver
příroda	nature
někde	somewhere
takhle	this
stanice	station
veškerý	all
sestra	sister
ústa	mouth
uvědomit	remember
pravidlo	rule
technika	technology
historický	historical
proud	current
kdysi	once
stupeň	degree
vstup	input
znít	sound
majetek	possession
závod	plant
podíl	share
návštěva	visit
podstata	nature
potvrdit	confirm
spolupráce	cooperation
předpokládat	assume
týkat se	relate to
snaha	effort
manželka	wife
způsobit	cause
maminka	mom
dokud	until
pokus	trial
doufat	hope
vzhledem	due
daný	given
zbytek	rest
datum	date
daň	tax
kostel	church
položit	lay
září	September
šance	chance
host	guest
technologie	technology
dovolit	allow
kulturní	cultural
opatření	measures
blízko	close
nástroj	tool
půda	soil
vytvářet	generate
okamžitě	immediately
vyhrát	win
příčina	cause
trenér	trainer
pouhý	mere
projít	go through
využívat	exploit
soukromý	private
žák	pupil
podat	submit
b	b
umožňovat	allow
dít	happen
zajistit	secure
všimnout	notice
si	to
rozhovor	interview
záda	back
docházet	resort
náměstí	plaza
minulost	past
vysoko	high
veřejnost	public
scéna	scene
dovést	lead
uvádět	featuring
štěstí	happiness
pokusit se	try
hotel	hotel
konečný	final
odmítnout	refuse
rozhodně	definitely
vstoupit	enter
zbraň	weapon
ačkoliv	although
bohatý	wealthy
rychlost	speed
most	bridge
společenský	social
založit	establish
aktivita	activity
opustit	leave
přestože	even though
student	student
vzpomínat	reminisce
prvek	element
pohybovat	move
riziko	risk
záležitost	affair
chovat	rear
dostávat	receive
nějak	somehow
mistr	champion
jezdit	ride
hodit	throw
divák	spectator
neděle	Sunday
obsah	contents
cizí	foreign
výraz	expression
vrstva	layer
konkrétní	specific
připomínat	remind
pomáhat	help
dopravní	transport
údaj	reading
řád	order
počítač	computer
pořádek	tidiness
Francie	France
špatně	poorly
plocha	area
hospodářský	economic
ODS	ODS
naděje	hopes
tvar	shape
příjem	income
západní	western
tlak	pressure
osud	fate
naprosto	totally
zabít	kill
kámen	stone
paragraf	section
policejní	police
kluk	boy
chyba	bug
bydlet	stay
učit	teach
dolů	down
modrý	blue
současně	together
souhlasit	agree
určit	identify
tentokrát	this time
celkem	total
péče	care
řídit	manage
vysvětlovat	explain
zabývat se	deal with
leden	January
fakt	fact
pozorovat	watch
oběť	victim
projev	token
volat	call
sobota	Saturday
operace	operation
snadno	easily
nabídnout	offer
amerika	america
vítr	wind
bránit	defend
viz	see
profesor	professor
národ	nation
zvýšit	increase
veliký	great
desítka	ten
olej	oil
naučit	learn
takto	thus
čin	act
aniž	without
vyprávět	recount
zima	winter
tradiční	traditional
úprava	treatment
uvažovat	consider
dohoda	agreement
požádat	ask
new	new
odborník	expert
poměr	ratio
zavolat	call
bolest	ache
odpoledne	afternoon
pomocí	through
c	C
dojem	impression
princip	principle
klient	client
pojem	notion
závislý	addicted
přiznat	grant
soubor	file
činit	do
kůže	skin
vznik	formation
příslušný	appropriate
pamatovat	remember
dávno	a long time ago
pacient	patient
výrobce	manufacturer
klid	serenity
spojení	link
učitel	teacher
společně	together
tvorba	creation
Martin	Martin
rostlina	plant
partner	partner
ohled	respect
povídat	chat
uzavřít	close down
teorie	theory
drobný	minor
provádět	perform
hudební	music
slovenský	Slovak
karta	card
rána	blow
ven	out
zahraničí	abroad
časopis	magazine
otočit	turn over
styl	style
vznikat	rise
léto	summer
výzkum	research
opakovat	repeat
komunikace	communications
nacházet	finding
všude	everywhere
tj.	i.e.
praxe	practice
vlastnost	property
dětský	children
zas	again
severní	north
osobnost	personality
poslouchat	listen
univerzita	university
odborný	expert
hrozit	threaten
pozice	position
jižní	southern
speciální	special
obor	discipline
budoucnost	future
vážně	seriously
kilometr	kilometer
reakce	reaction
chybět	be missing
chuť	flavor
vlak	train
kapitola	section
ozvat se	speak up
produkt	product
koncert	concert
poměrně	relatively
politik	politician
oznámit	announce
náhle	suddenly
ekonomika	economy
stovka	hundred
řešit	deal with
značka	brand
povrch	surface
uprostřed	middle
postavení	status
agentura	agency
vlna	wave
nýbrž	but
výrazně	distinctly
teplota	temperature
park	park
zámek	Castle
vytáhnout	pull out
těšit	forward
krk	throat
šat	raiment
prostřednictví	mediation
poslanec	deputy
vyžadovat	require
umělecký	artistic
vědomí	consciousness
slečna	lady
značný	sizable
chystat	prepare
Němec	German
následovat	follow
květen	May
červen	June
vážný	serious
zvuk	sound
jasně	clear
jakmile	once
zvláště	especially
loňský	last year
úsměv	smile
televizní	TV
tma	darkness
drahý	expensive
letadlo	aircraft
nosit	wear
potřebný	required
jo	Yeah
zpívat	sing
velikost	size
norma	standard
setkat	meet
kolega	colleague
internet	Internet
rozpočet	budget
ucho	ear
spojit	join
výrazný	significant
připravovat	cook
konstrukce	structure
zisk	profit
poněkud	somewhat
rodinný	family
stanovit	fix
též	too
poskytovat	provide
starost	concern
Čechy	Bohemia
studie	study
tvrdý	tough
fungovat	work
průmysl	industry
médium	medium
dějiny	history
domnívat se	I think that
milý	dear
dokument	document
žádat	ask
zavřít	close
oheň	fire
stín	shadow
třicet	thirty
úvaha	reasoning
břeh	bank
vzpomenout	remember
konat	hold
mysl	mind
nemoc	disease
usmát se	smile
denně	daily
končit	ending
instituce	institution
věda	science
sdělit	communicate
Paříž	Paris
uvnitř	inside
nedostatek	shortage
říjen	October
J	J
prázdný	empty
probíhat	take place
pokoušet	tempt
nicméně	however
přítomnost	presence
sotva	barely
krátce	short
návrat	return
lehký	light
píseň	song
pevný	firm
Rusko	Russia
nijak	no
kuchyně	cooking
oddělení	department
nejprve	first
víra	faith
přejít	traverse
okraj	edge
částka	sum
záležet	matter
buňka	cell
církev	church
odpad	waste
le	le
pryč	gone
apod.	like.
poskytnout	grant
výběr	selection
vítězství	victory
radnice	town hall
tradice	tradition
studio	studio
účast	participation
výhoda	benefit
zkouška	exam
noční	night
tábor	camp
běžet	run
předpis	prescription
výjimka	exception
krajina	scenery
návštěvník	visitor
nebe	heaven
herec	actor
svaz	union
klasický	classical
František	Pastille
akcie	share
postoj	attitude
střecha	top
učinit	do
účel	purpose
dodávat	deliver
vyjádřit	express
neustále	constantly
listopad	November
zdravý	healthy
použití	application
celek	complex
zvednout	pick up
dráha	track
snímek	image
Vladimír	Vladimír
napětí	tension
informovat	inform
potíž	difficulty
deska	board
bezpečnost	safety
březen	March
domov	home
srpen	August
existence	existence
starosta	mayor
dozvědět se	Learn
prodat	sell
padnout	fall
předchozí	previous
týž	the same
York	York
sníh	snow
tabulka	table
liga	league
adresa	address
duben	April
zdravotní	health
padesát	fifty
obvyklý	usual
dvakrát	twice
smát se	laugh
spatřit	see
generace	generation
investice	investment
dispozice	disposition
obrana	defense
zub	tooth
zpět	back
pivo	beer
charakter	character
poznamenat	note
ústav	institute
přemýšlet	think
nebezpečí	danger
slabý	weak
přirozený	natural
sůl	salt
objevovat	discover
délka	length
hezký	handsome
normální	normal
nemocný	sick
analýza	analysis
přední	front
galerie	gallery
zdraví	health
zásada	principle
umožnit	enable
podávat	feed
vejít	enter
výbor	committee
jaro	spring
Marie	Marie
informační	Information
kamarád	pal
the	the
dvůr	yard
umělec	artist
ostatně	moreover
filmový	movie
pravděpodobně	probably
případně	eventually
poznámka	remark
utkání	match
složitý	complex
pěkný	pretty
počkat	wait
motor	engine
vesnice	village
trest	punishment
nedávno	recently
atd	etc.
narodit	born
zvolit	choose
ryba	fish
kategorie	category
vůle	will
bohužel	unfortunately
omezený	limited
bavit	entertain
spor	dispute
těžko	difficult
Tomáš	Thomas
kino	theater
kurs	course
pocházet	come
československý	Czechoslovak
pravit	to edit the
využití	utilization
úzký	close
hladina	level
reagovat	react
Čech	Čech
vystoupit	alight
okolnost	circumstance
věta	sentence
důkaz	evidence
Jaroslav	Jaroslav
prakticky	practically
zítra	tomorrow
devět	nine
přesný	accurate
pták	bird
navštívit	visit
literatura	literature
obecný	general
výška	height
udržet	keep
vládní	governmental
ticho	silence
průmyslový	industrial
dopadnout	strike
stopa	footprint
zahájit	launch
euro	euro
vstát	rise
hledět	look
pátek	Friday
budoucí	future
Američan	American
vodní	water
bojovat	fight
II	II
klidně	quietly
obava	fear
východ	East
setkání	meeting
snížit	reduce
hrad	castle
účastník	participant
tentýž	same
ženský	female
sejít	meet
předpoklad	assumption
kapsa	pocket
manažer	manager
režim	mode
vadit	hinder
připomenout	remind
zlý	evil
vazba	weave
východní	east
výstavba	construction
představitel	representative
vnější	outer
seznam	list
elektrický	electrical
zbavit	relieve
hnutí	movement
únor	February
italský	Italian
znalost	knowledge
přinášet	produce
ret	lip
paměť	memory
jíst	eat
odjet	leave
bezpečnostní	security
nárok	claim
západ	West
prodávat	sell
vydržet	withstand
prosinec	December
podporovat	promote
nastat	come
díl	part
podlaha	flooring
dospělý	adult
původně	originally
občanský	civil
novinář	journalist
cosi	something
boží	divine
km	km
zvlášť	separately
ročník	year
vozidlo	vehicle
všecek	all the keen
krajský	regional
pozdní	late
zvýšení	increase
pít	drink
akciový	joint-stock
vražda	murder
chodba	corridor
cenný	valuable
podnikatel	businessman
Ostrava	Ostrava
odpor	resistance
přírodní	natural
touha	desire
vzájemný	mutual
podstatný	substantial
kontakt	contact
plzeň	plzeň
čtvrtý	fourth
dřevěný	wooden
mladík	youngster
chvilka	bit
průměr	average
vyrazit	set off
nos	nose
investor	investor
odmítat	reject
rozsah	scope
automobil	car
tajný	secret
vyvolat	cause
úředník	official
vzpomínka	memory
červenec	July
fáze	phase
teplý	warm
účet	bill
tušit	suspect
snadný	easy
klást	put
nápad	idea
noviny	newspaper
pondělí	Monday
účinek	effect
tiše	quietly
žádost	application
festival	festival
zkusit	try
premiér	premier
mozek	brain
zadní	rear
nahoru	up
restaurace	restaurant
anglický	English
smích	laughter
režisér	director
typický	typical
chlap	guy
plyn	gas
zbývat	remain
oblíbený	favorite
produkce	production
patnáct	fifteen
podílet	share
závislost	addiction
skvělý	great
vězení	prison
ČSSD	CSSD
sbírka	collection
finance	finance
parlament	parliament
stálý	stable
Sb	Sb
Anna	Anna
čtenář	reader
hotový	ready
termín	deadline
jízda	ride
projevit	exhibit
nepřítel	enemy
teplo	heat
Londýn	London
jemný	fine
rozsáhlý	extensive
autobus	bus
krása	beauty
cukr	sugar
promluvit	speak
kvalitní	quality
zachovat	preserve
region	region
bota	shoe
dodnes	to this day
gól	goal
zmíněný	said
hodlat	intend
svobodný	free
navrhnout	suggest
dovnitř	inwards
John	John
vnímat	perceive
spočívat	rest
přičemž	while
kruh	circle
levý	left
přibližně	about
úvěr	credit
mm	mm
označit	mark
potkat	meet
sportovní	sports
posadit	sit
faktor	factor
studovat	study
náročný	challenging
objem	volume
horký	hot
znak	character
David	David
tatínek	Daddy
nově	new
soudce	judge
překvapit	surprise
nastoupit	board
bok	hip
generální	general
dřevo	wood
jistota	certainty
soudní	court
japonský	Japanese
George	George
déšť	rain
těsně	close
obyčejný	common
vzdálený	remote
kapitán	captain
rozhodovat	decide
generál	general
několikrát	several times
roh	corner
d	d
básník	poet
povaha	nature
holka	girl
máma	mother
dokonalý	perfect
jezero	lake
ztrácet	waste
zavést	introduce
přivést	bring
nahradit	replace
palác	palace
rozdělit	split
spokojený	satisfied
ovlivnit	affect
zachránit	rescue
dávka	dose
sovětský	Soviet
uložit	impose
vědecký	scientific
věž	tower
trpět	suffer
sklo	glass
užívat	enjoy
lžíce	spoon
přednost	preference
nadále	continue
podzim	fall
večeře	dinner
mléko	milk
starat	worry
dotknout	touch
dosavadní	existing
plně	fully
vydávat	emit
procházet	go through
uskutečnit	implement
úplný	complete
upozornit	warn
tenkrát	then
předem	in advance
svědek	witness
reforma	reform
branka	goal
chránit	protect
pozor	beware
velitel	commander
verze	version
venku	outdoors
koleno	knee
schod	step
středisko	center
myšlení	thought
strávit	digest
podepsat	sign
dvanáct	twelve
dostatečný	sufficient
složka	component
pobyt	stay
letní	summer
jednak	secondly,
odchod	exit
kost	bone
táta	dad
původ	ancestry
záměr	intention
následek	result
okolo	about
duchovní	spiritual
dlouhodobý	long-term
ostrý	sharp
diskuse	debate
sdružení	association
židle	chair
spisovatel	writer
praktický	practical
víkend	weekend
krize	crisis
odpovědnost	responsibility
odstavec	section
dlaň	palm
klidný	calm
dneska	today
odtud	thence
vydání	release
obecně	general
tichý	silent
deník	diary
mocný	powerful
dáma	checkers
sál	hall
častý	frequent
přístroj	device
zdejší	local
brána	gate
čerstvý	fresh
reklama	ad
pozemek	land
pád	crash
pěkně	fine
poloha	location
Británie	Britain
fotbalový	football
vrchol	top
román	novel
tráva	grass
lék	medicine
převzít	take over
tón	tone
povědět	tell
splnit	fulfill
vina	guilt
nutit	coerce
průměrný	average
oprava	correction
prokázat	show
žlutý	yellow
ihned	immediately
chytit	catch
Škoda	Shame
dávný	old
fyzický	physical
kariéra	career
manželství	marriage
nákup	purchase
rozšířit	expand
atmosféra	atmosphere
případný	prospective
lidový	folk
hala	hall
utéci	flee
uvědomovat	realize
respektive	respectively
máslo	butter
Zdeněk	Zdenek
vyrábět	produce
pomyslet	think
táhnout	drag
přítomný	present
zasáhnout	hit
cigareta	cigarette
suchý	dry
silně	strongly
zloděj	thief
daňový	tax
volební	election
vyplývat	result
Itálie	Italy
hodnocení	reviews
odkud	whence
oficiální	official
popsat	describe
dno	bottom
výrobní	manufacturing
patrně	apparently
zbýt	left over
válečný	war
náboženský	religious
odcházet	go
konstatovat	state
elektronický	electronic
podivný	strange
působení	action
lehce	lightly
reálný	real
samostatný	separate
studený	cold
klíč	key
chléb	bread
nazývat	calling
aplikace	application
dařit	thrive
určený	intended
Robert	Robert
přežít	survive
tmavý	dark
sněmovna	House of Commons
tisk	print
barevný	color
vystupovat	stand out
zničit	destroy
sídlo	seat
aktivní	active
projevovat	show
srovnání	comparison
přečíst	read
časový	temporal
soupeř	rival
alkohol	alcohol
důstojník	officer
ach	oh
hřiště	playground
počasí	weather
zvládnout	manage
lišit	differ
horní	upper
křídlo	wing
povinný	compulsory
zabránit	prevent
děvče	girl
dorazit	arrive
styk	contact
správně	right
školní	school
pravidelný	regular
křeslo	armchair
křičet	shout
knížka	book
přátelský	friendly
umístit	place
hrůza	horror
pevně	firm
okresní	District
postižený	afflicted
vzácný	rare
dech	breath
strategie	strategy
zvyšovat	increase
cokoliv	whatever
děkovat	thank
subjekt	subject
droga	drug
signál	signal
odbor	department
představení	performance
zaznamenat	record
cm	cm
zásadní	essential
Olomouc	Olomouc
nálada	mood
kapela	band
varianta	option
konference	conference
prostý	plain
ochotný	helpful
centrální	central
energetický	Energy
klíčový	key
památka	monument
tajemství	mystery
jev	is in
zpravidla	usually
letiště	airport
nůž	knife
kandidát	candidate
hmota	mass
probudit	wake
středa	Wednesday
pobřeží	coast
káva	coffee
příslušník	member
čtvrt	quarter
vlastnit	own
královský	royal
poplatek	fee
nehoda	accident
úloha	role
pohlédnout	glance
Sparta	Sparta
přijímat	take
rozum	reason
hrubý	rough
připravený	ready
snížení	reduction
divadelní	theatrical
jinde	elsewhere
pátý	fifth
Jana	Jane
jedinec	individual
temný	dark
expozice	exposure
přechod	transition
vzdálenost	distance
doplnit	refill
léčba	treatment
značně	greatly
chudý	poor
údajně	supposedly
třetina	third
odstranit	remove
vyloučit	exclude
seznámit	acquaint
copak	do not you
tehdejší	then
konflikt	conflict
údolí	valley
paže	arm
Miroslav	Miroslav
chrám	temple
narazit	crash
cibule	onions
malíř	painter
rozměr	dimension
babička	grandmother
areál	grounds
test	test
pečlivě	carefully
pokládat	deem
knihovna	library
Milan	Milan
koncepce	conception
soudit	judge
pravidelně	regularly
povést	reputation
zpracování	treatment
Klaus	Klaus
vůně	fragrance
sport	sport
přispět	contribute
členský	member
platný	valid
dluh	debt
vejce	egg
čína	China
blížit se	approach
internetový	web
symbol	symbol
domácnost	household
literární	literary
komunista	Communist
dohromady	together
čtyřicet	forty
realita	reality
rys	feature
osobně	personally
uživatel	user
učení	apprenticeship
linka	line
příspěvek	contribution
zrušit	cancel
mouka	flour
známka	mark
roční	yearly
dostatečně	enough
jih	south
zřejmý	clear
lékařský	medical
lid	people
úsilí	effort
požadovat	demand
pozvat	invite
sednout	sit
spadnout	fall
ročně	per annum
viset	hang
spánek	sleep
trestný	criminal
investiční	Investment
vybraný	selected
onemocnění	illness
přání	wishes
natolik	enough
padat	fall
oběd	lunch
turista	hiker
strašně	awfully
zranění	injury
Ivan	Ivan
porucha	failure
vzhůru	up
zahrnovat	comprise
sbor	chorus
vzdát	give up
zlato	gold
stavět	build
Michal	Michael
sever	north
mimořádný	extraordinary
kopec	hill
spotřeba	consumption
vědec	scientist
udržovat	maintain
toužit	yearn
souviset	related
sezóna	season
špička	tip
pozitivní	positive
čtvrtek	Thursday
