dolů	down
bok	hip
generální	general
dřevo	wood
jistota	certainty
soudní	court
japonský	Japanese
George	George
déšť	rain
těsně	close
obyčejný	common
vzdálený	remote
kapitán	captain
rozhodovat	decide
generál	general
několikrát	several times
roh	corner
d	d
básník	poet
povaha	nature
holka	girl
máma	mother
dokonalý	perfect
jezero	lake
ztrácet	waste
zavést	introduce
přivést	bring
nahradit	replace
palác	palace
rozdělit	split
spokojený	satisfied
ovlivnit	affect
zachránit	rescue
dávka	dose
sovětský	Soviet
uložit	impose
vědecký	scientific
věž	tower
trpět	suffer
sklo	glass
užívat	enjoy
lžíce	spoon
přednost	preference
nadále	continue
podzim	fall
večeře	dinner
mléko	milk
starat	worry
dotknout	touch
dosavadní	existing
plně	fully
vydávat	emit
procházet	go through
uskutečnit	implement
úplný	complete
upozornit	warn
tenkrát	then
předem	in advance
svědek	witness
reforma	reform
branka	goal
chránit	protect
pozor	beware
velitel	commander
verze	version
venku	outdoors
koleno	knee
schod	step
středisko	center
myšlení	thought
strávit	digest
podepsat	sign
dvanáct	twelve
dostatečný	sufficient
složka	component
pobyt	stay
letní	summer
jednak	secondly,
odchod	exit
kost	bone
táta	dad
původ	ancestry
záměr	intention
následek	result
okolo	about
duchovní	spiritual
dlouhodobý	long-term
ostrý	sharp
diskuse	debate
sdružení	association
židle	chair
spisovatel	writer
praktický	practical
víkend	weekend
krize	crisis
odpovědnost	responsibility
odstavec	section
dlaň	palm
klidný	calm
dneska	today
odtud	thence
vydání	release
obecně	general
tichý	silent
deník	diary
mocný	powerful
dáma	checkers
sál	hall
častý	frequent
přístroj	device
zdejší	local
brána	gate
čerstvý	fresh
reklama	ad
pozemek	land
pád	crash
pěkně	fine
poloha	location
Británie	Britain
fotbalový	football
vrchol	top
román	novel
tráva	grass
lék	medicine
převzít	take over
tón	tone
povědět	tell
splnit	fulfill
vina	guilt
nutit	coerce
průměrný	average
oprava	correction
prokázat	show
žlutý	yellow
ihned	immediately
chytit	catch
Škoda	Shame
dávný	old
fyzický	physical
kariéra	career
manželství	marriage
nákup	purchase
rozšířit	expand
atmosféra	atmosphere
případný	prospective
lidový	folk
hala	hall
utéci	flee
uvědomovat	realize
respektive	respectively
máslo	butter
Zdeněk	Zdenek
vyrábět	produce
pomyslet	think
táhnout	drag
přítomný	present
zasáhnout	hit
cigareta	cigarette
suchý	dry
silně	strongly
zloděj	thief
daňový	tax
volební	election
vyplývat	result
Itálie	Italy
hodnocení	reviews
odkud	whence
oficiální	official
popsat	describe
dno	bottom
výrobní	manufacturing
patrně	apparently
zbýt	left over
válečný	war
náboženský	religious
odcházet	go
konstatovat	state
elektronický	electronic
podivný	strange
působení	action
lehce	lightly
reálný	real
samostatný	separate
studený	cold
klíč	key
chléb	bread
nazývat	calling
aplikace	application
dařit	thrive
určený	intended
Robert	Robert
přežít	survive
tmavý	dark
sněmovna	House of Commons
tisk	print
barevný	color
vystupovat	stand out
zničit	destroy
sídlo	seat
aktivní	active
projevovat	show
srovnání	comparison
přečíst	read
časový	temporal
soupeř	rival
alkohol	alcohol
důstojník	officer
ach	oh
hřiště	playground
počasí	weather
zvládnout	manage
lišit	differ
horní	upper
křídlo	wing
povinný	compulsory
zabránit	prevent
děvče	girl
dorazit	arrive
styk	contact
správně	right
školní	school
pravidelný	regular
křeslo	armchair
křičet	shout
knížka	book
přátelský	friendly
umístit	place
hrůza	horror
pevně	firm
okresní	District
postižený	afflicted
vzácný	rare
dech	breath
strategie	strategy
zvyšovat	increase
cokoliv	whatever
děkovat	thank
subjekt	subject
droga	drug
signál	signal
odbor	department
představení	performance
zaznamenat	record
cm	cm
zásadní	essential
Olomouc	Olomouc
nálada	mood
kapela	band
varianta	option
konference	conference
prostý	plain
ochotný	helpful
centrální	central
energetický	Energy
klíčový	key
památka	monument
tajemství	mystery
jev	is in
zpravidla	usually
letiště	airport
nůž	knife
kandidát	candidate
hmota	mass
probudit	wake
středa	Wednesday
pobřeží	coast
káva	coffee
příslušník	member
čtvrt	quarter
vlastnit	own
královský	royal
poplatek	fee
nehoda	accident
úloha	role
pohlédnout	glance
Sparta	Sparta
přijímat	take
rozum	reason
hrubý	rough
připravený	ready
snížení	reduction
divadelní	theatrical
jinde	elsewhere
pátý	fifth
Jana	Jane
jedinec	individual
temný	dark
expozice	exposure
přechod	transition
vzdálenost	distance
doplnit	refill
léčba	treatment
značně	greatly
chudý	poor
údajně	supposedly
třetina	third
odstranit	remove
vyloučit	exclude
seznámit	acquaint
copak	do not you
tehdejší	then
konflikt	conflict
údolí	valley
paže	arm
Miroslav	Miroslav
chrám	temple
narazit	crash
cibule	onions
malíř	painter
rozměr	dimension
babička	grandmother
areál	grounds
test	test
pečlivě	carefully
pokládat	deem
knihovna	library
Milan	Milan
koncepce	conception
soudit	judge
pravidelně	regularly
povést	reputation
zpracování	treatment
Klaus	Klaus
vůně	fragrance
sport	sport
přispět	contribute
členský	member
platný	valid
dluh	debt
vejce	egg
čína	China
blížit se	approach
internetový	web
symbol	symbol
domácnost	household
literární	literary
komunista	Communist
dohromady	together
čtyřicet	forty
realita	reality
rys	feature
osobně	personally
uživatel	user
učení	apprenticeship
linka	line
příspěvek	contribution
zrušit	cancel
mouka	flour
známka	mark
roční	yearly
dostatečně	enough
jih	south
zřejmý	clear
lékařský	medical
lid	people
úsilí	effort
požadovat	demand
pozvat	invite
sednout	sit
spadnout	fall
ročně	per annum
viset	hang
spánek	sleep
trestný	criminal
investiční	Investment
vybraný	selected
onemocnění	illness
přání	wishes
natolik	enough
padat	fall
oběd	lunch
turista	hiker
strašně	awfully
zranění	injury
Ivan	Ivan
porucha	failure
vzhůru	up
zahrnovat	comprise
sbor	chorus
vzdát	give up
zlato	gold
stavět	build
Michal	Michael
sever	north
mimořádný	extraordinary
kopec	hill
spotřeba	consumption
vědec	scientist
udržovat	maintain
toužit	yearn
souviset	related
sezóna	season
špička	tip
pozitivní	positive
čtvrtek	Thursday
vložit	insert
pás	strip
dokončit	finish
rekonstrukce	reconstruction
mír	peace
dohodnout	settle
zaujmout	take
výhodný	profitable
sezona	Season
opera	opera
cizinec	foreigner
mlčet	be silent
vyjadřovat	express
Liberec	Liberec
pořádně	properly
čínský	Chinese
